BLEURT-20_ref_A	BLEURT-20_ref_B
0.80	0.78
0.64	0.82
0.85	0.67
0.79	0.73
0.72	0.70
0.78	0.86
0.84	0.80
0.74	0.69
0.64	0.45
0.48	0.29
0.82	0.80
0.87	0.83
0.67	0.66
0.81	0.74
0.44	0.54
0.74	0.64
0.71	0.60
0.71	0.68
0.79	0.76
0.69	0.66
0.88	0.88
0.80	0.82
0.59	0.74
0.85	0.86
0.77	0.82
0.76	0.77
0.83	0.80
0.78	0.85
0.60	0.55
0.71	0.69
0.56	0.56
0.72	0.61
0.68	0.66
0.76	0.65
0.75	0.72
0.67	0.78
0.57	0.57
0.83	0.86
0.79	0.54
0.91	0.86
0.76	0.64
0.78	0.77
0.74	0.81
0.82	0.79
0.71	0.62
0.57	0.52
0.69	0.74
0.62	0.60
0.70	0.68
0.83	0.80
0.66	0.60
0.71	0.64
0.85	0.59
0.80	0.83
0.73	0.71
0.65	0.61
0.80	0.82
0.87	0.73
0.66	0.59
0.75	0.75
0.82	0.78
0.86	0.83
0.93	0.87
0.42	0.40
0.40	0.41
0.67	0.64
0.51	0.48
0.70	0.68
0.37	0.41
0.49	0.41
0.76	0.73
0.64	0.73
0.76	0.69
0.78	0.76
0.70	0.69
0.71	0.71
0.62	0.64
0.61	0.70
0.71	0.75
0.83	0.85
0.80	0.86
0.52	0.63
0.59	0.61
0.69	0.82
0.66	0.67
0.78	0.80
0.88	0.87
0.63	0.69
0.64	0.86
0.96	1.01
0.83	0.85
0.50	0.54
0.50	0.66
0.78	0.77
0.80	0.85
0.67	0.77
0.74	0.71
0.82	0.76
0.79	0.74
0.71	0.66
0.83	0.78
0.76	0.71
0.79	0.68
0.81	0.77
0.78	0.62
0.81	0.71
0.78	0.75
0.77	0.84
0.72	0.75
0.70	0.54
0.75	0.70
0.81	0.73
0.52	0.49
0.80	0.74
0.75	0.61
0.84	0.79
0.73	0.69
0.63	0.61
0.70	0.75
0.74	0.78
0.60	0.69
0.78	0.84
0.74	0.84
0.70	0.78
0.77	0.76
0.75	0.82
0.69	0.74
0.81	0.70
0.60	0.70
0.86	0.94
0.68	0.74
0.75	0.80
0.51	0.51
0.80	0.87
0.62	0.72
0.90	0.92
0.79	0.82
0.91	0.93
0.75	0.76
0.80	0.94
0.84	0.85
0.80	0.84
0.69	0.86
0.85	0.82
0.72	0.69
0.76	0.76
0.66	0.63
0.85	0.91
0.79	0.72
0.65	0.59
0.83	0.73
0.75	0.72
0.68	0.71
0.74	0.71
0.74	0.74
0.69	0.67
0.76	0.72
0.78	0.73
0.89	0.82
0.73	0.71
0.63	0.32
0.94	0.91
0.82	0.69
0.65	0.61
0.80	0.77
0.81	0.78
0.74	0.55
0.44	0.42
0.83	0.76
0.91	0.93
0.72	0.81
0.77	0.68
0.77	0.93
0.64	0.80
0.89	0.86
0.83	0.76
0.83	0.91
0.85	0.79
0.83	0.82
0.81	0.76
0.73	0.69
0.77	0.77
0.89	0.81
0.80	0.80
0.80	0.79
0.82	0.75
0.83	0.77
0.76	0.69
0.87	0.78
0.79	0.76
0.79	0.76
0.83	0.86
0.62	0.71
0.78	0.85
0.64	0.74
0.67	0.77
0.73	0.79
0.69	0.73
0.74	0.79
0.73	0.77
0.82	0.81
0.73	0.70
0.46	0.46
0.77	0.55
0.40	0.35
0.50	0.50
0.35	0.34
0.63	0.54
0.68	0.51
0.70	0.63
0.59	0.46
0.50	0.41
0.45	0.52
0.49	0.49
0.46	0.50
0.48	0.41
0.58	0.49
0.64	0.75
0.48	0.55
0.39	0.43
0.40	0.42
0.65	0.56
0.37	0.50
0.54	0.69
0.51	0.56
0.36	0.48
0.44	0.45
0.70	0.76
0.78	0.77
0.74	0.82
0.82	0.84
0.73	0.80
0.82	0.80
0.85	0.82
0.57	0.77
0.44	0.48
0.90	0.90
0.94	0.78
0.50	0.72
0.75	0.87
0.49	0.54
0.72	0.67
0.89	0.82
0.85	0.67
0.72	0.72
0.91	0.84
0.92	0.93
0.68	0.59
0.96	0.96
0.76	0.78
0.85	0.84
0.73	0.76
0.56	0.64
0.32	0.32
0.75	0.64
0.49	0.46
0.67	0.67
0.75	0.68
0.55	0.55
0.81	0.70
0.55	0.45
0.83	0.74
0.73	0.58
0.59	0.68
0.52	0.62
0.73	0.62
0.67	0.56
0.68	0.51
0.76	0.64
0.59	0.54
0.71	0.75
0.82	0.72
0.65	0.61
0.65	0.59
0.63	0.69
0.31	0.43
0.79	0.77
0.64	0.59
0.85	0.62
0.62	0.40
0.76	0.62
0.64	0.63
0.70	0.78
0.81	0.81
0.86	0.79
0.76	0.84
0.84	0.80
0.81	0.71
0.84	0.78
0.74	0.66
0.75	0.71
0.65	0.71
0.64	0.64
0.71	0.78
0.81	0.75
0.76	0.83
0.80	0.84
0.86	0.83
0.86	0.82
0.59	0.55
0.59	0.73
0.68	0.89
0.49	0.62
0.76	0.77
0.65	0.72
1.01	0.94
0.80	0.81
0.89	0.91
0.94	0.79
0.63	0.70
0.84	0.83
0.61	0.63
0.85	0.82
0.92	0.87
0.85	0.84
0.96	0.86
0.65	0.59
0.74	0.71
0.62	0.65
0.69	0.70
0.89	0.88
0.65	0.66
0.82	0.82
0.89	0.96
0.74	0.77
0.48	0.54
0.78	0.69
0.71	0.73
0.81	0.77
0.72	0.65
0.83	0.81
0.48	0.50
0.72	0.69
0.64	0.61
0.52	0.42
0.68	0.50
0.70	0.66
0.62	0.62
0.72	0.61
0.79	0.70
0.58	0.54
0.57	0.54
0.57	0.58
0.57	0.59
0.89	0.71
0.82	0.81
0.74	0.68
0.78	0.68
0.88	0.78
0.71	0.61
0.84	0.83
0.84	0.84
0.81	0.88
0.79	0.78
0.75	0.79
0.74	0.77
0.76	0.79
0.73	0.74
0.91	0.94
0.76	0.71
0.81	0.78
0.79	0.78
0.70	0.72
0.75	0.72
0.72	0.70
0.80	0.65
0.82	0.81
0.80	0.84
0.76	0.75
0.91	0.89
0.48	0.69
0.66	0.67
0.70	0.66
0.69	0.66
0.82	0.81
0.79	0.78
0.74	0.60
0.89	0.87
0.72	0.71
0.87	0.86
0.60	0.57
0.80	0.79
0.69	0.91
0.80	0.77
0.69	0.71
0.78	0.64
0.68	0.64
0.57	0.63
0.72	0.75
0.61	0.63
0.68	0.68
0.56	0.51
0.53	0.39
0.76	0.79
0.84	0.81
0.83	0.77
0.51	0.57
0.44	0.46
0.69	0.75
0.62	0.67
0.59	0.51
0.50	0.49
0.67	0.58
0.53	0.49
0.69	0.63
0.62	0.48
0.66	0.59
0.65	0.61
0.64	0.43
0.63	0.54
0.65	0.86
0.81	0.84
0.66	0.74
0.86	0.80
0.78	0.84
0.83	0.88
0.60	0.78
0.81	0.82
0.81	0.90
0.73	0.73
0.61	0.62
0.71	0.65
0.69	0.76
0.82	0.81
0.56	0.60
0.57	0.66
0.80	0.73
0.85	0.91
0.67	0.68
0.64	0.59
0.79	0.83
0.75	0.80
0.77	0.78
0.69	0.66
0.79	0.81
0.83	0.80
0.66	0.67
0.56	0.56
0.73	0.77
0.71	0.73
0.63	0.64
0.73	0.79
0.73	0.83
0.89	0.85
0.72	0.82
0.71	0.80
0.50	0.57
0.78	0.77
0.76	0.88
0.70	0.72
0.71	0.75
0.73	0.72
0.60	0.70
0.80	0.83
0.75	0.77
0.57	0.57
0.83	0.88
0.63	0.68
0.70	0.69
0.74	0.72
0.85	0.76
0.68	0.56
0.63	0.56
0.72	0.64
0.79	0.86
0.50	0.55
0.84	0.75
0.70	0.74
0.42	0.37
0.68	0.70
0.73	0.75
0.73	0.80
0.73	0.73
0.77	0.82
0.58	0.63
0.79	0.81
0.77	0.80
0.78	0.82
0.67	0.85
0.64	0.68
0.66	0.66
0.44	0.51
0.57	0.60
0.58	0.47
0.22	0.24
0.71	0.72
0.74	0.69
0.78	0.75
0.83	0.70
0.76	0.61
0.67	0.68
0.61	0.58
0.68	0.62
0.78	0.80
0.77	0.78
0.69	0.70
0.58	0.75
0.74	0.78
0.72	0.68
0.69	0.72
0.60	0.60
0.68	0.64
0.71	0.62
0.69	0.67
0.85	0.81
0.81	0.82
0.77	0.77
0.57	0.51
0.67	0.65
0.71	0.68
0.71	0.75
0.74	0.65
0.90	0.97
0.76	0.75
0.68	0.74
0.87	0.93
0.87	0.90
0.40	0.49
0.71	0.62
0.54	0.56
0.75	0.78
0.69	0.67
0.96	0.82
0.73	0.72
0.53	0.60
0.68	0.69
0.40	1.01
0.81	0.82
0.63	0.65
0.58	0.51
0.80	1.02
0.36	0.38
0.42	0.44
0.65	0.70
0.36	0.34
0.64	0.67
0.58	0.54
0.98	0.61
0.84	0.83
0.82	0.85
0.61	0.54
0.75	0.78
0.88	0.77
0.92	0.85
0.86	0.88
0.85	0.81
0.77	0.72
0.54	0.69
0.86	0.84
0.86	0.84
0.82	0.83
0.90	0.84
0.68	0.68
0.78	0.71
0.76	0.81
0.69	0.66
0.80	0.76
0.77	0.73
0.81	0.81
0.78	0.73
0.88	0.81
0.65	0.63
0.80	0.73
0.81	0.71
0.60	0.59
0.65	0.68
0.59	0.82
0.67	0.61
0.56	0.51
0.78	0.64
0.54	0.56
0.67	0.63
0.47	0.54
0.61	0.74
0.59	0.43
0.65	0.46
0.79	0.74
0.62	0.59
0.75	0.51
0.61	0.56
0.71	0.63
0.80	0.83
0.69	0.77
0.80	0.73
0.57	0.55
0.53	0.66
0.84	0.85
0.76	0.75
0.63	0.70
0.79	0.73
0.74	0.77
0.82	0.84
0.60	0.61
0.80	0.53
0.72	0.53
0.75	0.71
0.82	0.76
0.76	0.58
0.55	0.58
0.78	0.81
0.84	0.72
0.63	0.61
0.81	0.89
0.86	0.79
