BLEURT-20_ref_A	BLEURT-20_ref_B
0.73	0.83
0.65	0.84
0.85	0.67
0.78	0.69
0.71	0.69
0.79	0.86
0.83	0.81
0.67	0.69
0.64	0.45
0.55	0.42
0.83	0.79
0.87	0.83
0.67	0.68
0.68	0.76
0.49	0.57
0.74	0.64
0.60	0.51
0.69	0.65
0.81	0.78
0.58	0.53
0.87	0.87
0.78	0.79
0.59	0.74
0.83	0.83
0.58	0.65
0.74	0.75
0.66	0.62
0.78	0.87
0.56	0.56
0.72	0.71
0.56	0.54
0.64	0.68
0.55	0.68
0.64	0.65
0.76	0.70
0.67	0.78
0.70	0.72
0.83	0.84
0.79	0.54
0.92	0.88
0.69	0.60
0.66	0.59
0.69	0.79
0.82	0.79
0.64	0.58
0.57	0.49
0.69	0.70
0.55	0.66
0.45	0.45
0.81	0.80
0.44	0.54
0.70	0.74
0.91	0.83
0.85	0.88
0.72	0.71
0.80	0.77
0.79	0.82
0.86	0.74
0.61	0.57
0.80	0.75
0.80	0.78
0.81	0.78
0.95	0.86
0.46	0.38
0.37	0.45
0.65	0.59
0.46	0.43
0.69	0.67
0.38	0.43
0.44	0.41
0.78	0.73
0.63	0.75
0.74	0.66
0.78	0.75
0.66	0.75
0.68	0.71
0.51	0.60
0.66	0.71
0.71	0.80
0.83	0.85
0.71	0.76
0.44	0.56
0.77	0.77
0.69	0.82
0.65	0.66
0.65	0.70
0.88	0.87
0.67	0.72
0.74	0.85
0.83	0.86
0.88	0.82
0.48	0.52
0.50	0.66
0.72	0.71
0.80	0.85
0.69	0.74
0.78	0.74
0.86	0.81
0.78	0.73
0.73	0.72
0.82	0.80
0.78	0.73
0.76	0.68
0.85	0.79
0.79	0.63
0.78	0.69
0.76	0.70
0.77	0.85
0.67	0.70
0.63	0.49
0.72	0.71
0.83	0.74
0.48	0.49
0.74	0.69
0.74	0.62
0.83	0.76
0.68	0.65
0.72	0.70
0.67	0.73
0.71	0.79
0.55	0.62
0.78	0.84
0.77	0.85
