BLEURT-20_ref_A	BLEURT-20_ref_B
0.73	0.72
0.72	0.83
0.85	0.67
0.79	0.70
0.74	0.73
0.81	0.87
0.84	0.83
0.75	0.70
0.61	0.47
0.54	0.35
0.85	0.78
0.85	0.81
0.70	0.69
0.71	0.75
0.54	0.69
0.70	0.60
0.69	0.62
0.67	0.63
0.86	0.82
0.63	0.61
0.88	0.88
0.74	0.75
0.61	0.75
0.75	0.73
0.70	0.75
0.75	0.76
0.65	0.65
0.90	0.81
0.60	0.56
0.73	0.72
0.57	0.54
0.63	0.67
0.64	0.72
0.67	0.59
0.79	0.73
0.67	0.78
0.58	0.56
0.86	0.81
0.76	0.48
0.91	0.86
0.77	0.63
0.80	0.78
0.72	0.81
0.82	0.79
0.66	0.58
0.63	0.54
0.76	0.77
0.55	0.65
0.49	0.44
0.83	0.80
0.57	0.51
0.76	0.67
0.85	0.59
0.82	0.85
0.70	0.69
0.74	0.68
0.80	0.84
0.85	0.72
0.66	0.59
0.78	0.69
0.80	0.79
0.79	0.73
0.90	0.86
0.43	0.41
0.32	0.38
0.68	0.64
0.66	0.66
0.67	0.65
0.45	0.50
0.47	0.38
0.75	0.75
0.55	0.70
0.74	0.66
0.63	0.58
0.70	0.76
0.63	0.65
0.50	0.61
0.66	0.74
0.70	0.75
0.82	0.81
0.74	0.77
0.53	0.69
0.79	0.79
0.70	0.82
0.72	0.75
0.75	0.78
0.88	0.87
0.65	0.71
0.53	0.76
0.96	1.01
0.87	0.84
0.60	0.58
0.44	0.59
0.75	0.74
0.80	0.85
0.62	0.68
0.76	0.86
0.82	0.79
0.69	0.65
0.72	0.64
0.86	0.78
0.78	0.71
0.79	0.72
0.83	0.78
0.58	0.42
0.75	0.64
0.71	0.68
0.78	0.86
0.70	0.74
0.69	0.52
0.73	0.70
0.81	0.73
0.49	0.49
0.76	0.69
0.75	0.64
0.82	0.77
0.70	0.65
0.56	0.55
0.68	0.73
0.69	0.74
0.67	0.78
0.79	0.87
0.76	0.84
0.64	0.67
0.77	0.77
0.78	0.86
0.65	0.76
0.81	0.73
0.61	0.69
0.86	0.94
0.70	0.72
0.72	0.75
0.77	0.80
0.80	0.92
0.62	0.75
0.92	0.90
0.79	0.79
0.93	0.86
0.72	0.62
0.80	0.87
0.86	0.85
0.81	0.85
0.70	0.86
0.86	0.85
0.86	0.81
0.76	0.76
0.69	0.62
0.78	0.87
0.77	0.69
0.58	0.48
0.78	0.70
0.65	0.68
0.72	0.70
0.75	0.69
0.69	0.68
0.63	0.54
0.81	0.75
0.63	0.68
0.90	0.84
0.71	0.71
0.68	0.34
0.94	0.91
0.84	0.75
0.58	0.51
0.90	0.81
0.86	0.80
0.71	0.60
0.41	0.43
0.53	0.46
0.86	0.87
0.72	0.80
0.79	0.63
0.78	0.90
0.65	0.78
0.83	0.83
0.80	0.79
0.75	0.75
0.82	0.79
0.60	0.63
0.79	0.74
0.81	0.75
0.78	0.76
0.90	0.82
0.83	0.76
0.83	0.82
0.79	0.71
0.83	0.75
0.60	0.57
0.85	0.77
0.83	0.77
0.82	0.79
0.78	0.85
0.61	0.67
0.79	0.87
0.69	0.72
0.72	0.74
0.80	0.82
0.68	0.71
0.69	0.72
0.73	0.75
0.81	0.77
0.75	0.71
0.55	0.49
0.49	0.40
0.38	0.35
0.49	0.48
0.38	0.41
0.60	0.51
0.78	0.68
0.60	0.60
0.72	0.52
0.38	0.37
0.47	0.51
0.52	0.55
0.45	0.48
0.48	0.42
0.58	0.50
0.55	0.66
0.55	0.55
0.40	0.47
0.40	0.37
0.69	0.58
0.38	0.50
0.38	0.53
0.60	0.57
0.35	0.51
0.44	0.42
0.58	0.66
0.78	0.68
0.76	0.82
0.85	0.83
0.74	0.81
0.84	0.78
0.84	0.82
0.44	0.63
0.49	0.47
0.83	0.79
0.88	0.75
0.64	0.77
0.79	0.89
0.35	0.38
0.82	0.75
0.89	0.80
0.82	0.69
0.72	0.72
0.91	0.84
0.88	0.86
0.67	0.57
0.96	0.96
0.75	0.78
0.85	0.84
0.69	0.74
0.48	0.50
0.54	0.51
0.71	0.58
0.59	0.50
0.57	0.52
0.53	0.62
0.63	0.63
0.78	0.79
0.74	0.65
0.72	0.66
0.76	0.66
0.44	0.54
0.58	0.55
0.73	0.69
0.66	0.60
0.67	0.54
0.44	0.41
0.70	0.71
0.66	0.68
0.80	0.69
0.65	0.62
0.69	0.65
0.44	0.45
0.36	0.42
0.81	0.80
0.71	0.70
0.86	0.72
0.71	0.57
0.72	0.58
0.61	0.54
0.70	0.76
0.82	0.81
0.86	0.83
0.76	0.84
0.82	0.79
0.82	0.69
0.84	0.78
0.72	0.63
0.74	0.68
0.64	0.71
0.54	0.55
0.71	0.78
0.79	0.79
0.72	0.77
0.79	0.82
0.83	0.79
0.80	0.79
0.66	0.73
0.52	0.69
0.84	0.88
0.58	0.68
0.77	0.77
0.68	0.75
1.01	0.94
0.79	0.85
0.90	0.89
0.87	0.81
0.63	0.61
0.74	0.70
0.59	0.67
0.84	0.90
0.95	0.91
0.84	0.90
0.93	0.87
0.74	0.69
0.74	0.71
0.68	0.67
0.66	0.61
0.90	0.88
0.65	0.66
0.92	0.90
0.83	0.85
0.72	0.77
0.32	0.40
0.62	0.51
0.71	0.71
0.84	0.76
0.84	0.59
0.80	0.74
0.47	0.49
0.77	0.73
0.62	0.63
0.86	0.82
0.72	0.58
0.73	0.66
0.78	0.76
0.68	0.52
0.75	0.64
0.64	0.69
0.53	0.47
0.60	0.55
0.70	0.65
0.89	0.71
0.84	0.82
0.69	0.65
0.78	0.68
0.81	0.80
0.74	0.63
0.81	0.77
0.84	0.85
0.80	0.85
0.72	0.73
0.62	0.65
0.69	0.70
0.69	0.69
0.73	0.73
0.94	0.99
0.69	0.62
0.84	0.78
0.73	0.76
0.63	0.65
0.76	0.75
0.78	0.76
0.83	0.67
0.83	0.81
0.82	0.84
0.74	0.73
0.89	0.89
0.70	0.38
0.63	0.61
0.72	0.67
0.75	0.75
0.79	0.78
0.80	0.80
0.78	0.67
0.89	0.87
0.72	0.69
0.86	0.86
0.62	0.61
0.82	0.79
0.69	0.92
0.80	0.77
0.65	0.71
0.66	0.61
0.66	0.58
0.64	0.57
0.70	0.75
0.78	0.48
0.76	0.70
0.51	0.46
0.52	0.38
0.76	0.81
0.85	0.83
0.84	0.75
0.46	0.53
0.39	0.42
0.65	0.72
0.50	0.49
0.75	0.65
0.55	0.52
0.64	0.60
0.59	0.53
0.67	0.61
0.60	0.50
0.65	0.61
0.68	0.63
0.72	0.54
0.70	0.58
0.79	0.82
0.77	0.83
0.74	0.76
0.84	0.78
0.81	0.83
0.84	0.87
0.60	0.78
0.77	0.83
0.84	0.92
0.57	0.78
0.66	0.64
0.69	0.63
0.68	0.76
0.82	0.81
0.49	0.57
0.57	0.66
0.53	0.43
0.77	0.76
0.61	0.64
0.62	0.66
0.76	0.79
0.75	0.79
0.76	0.78
0.65	0.62
0.79	0.82
0.80	0.80
0.67	0.66
0.48	0.48
0.72	0.75
0.70	0.75
0.62	0.65
0.74	0.81
0.70	0.77
0.89	0.85
0.66	0.79
0.75	0.82
0.44	0.52
0.77	0.79
0.75	0.86
0.56	0.66
0.75	0.81
0.71	0.70
0.67	0.75
0.78	0.82
0.75	0.70
0.64	0.64
0.81	0.81
0.78	0.78
0.79	0.73
0.74	0.72
0.84	0.79
0.50	0.48
0.70	0.60
0.74	0.68
0.75	0.81
0.64	0.59
0.86	0.76
0.73	0.65
0.42	0.37
0.67	0.70
0.71	0.74
0.69	0.77
0.73	0.73
0.74	0.79
0.65	0.62
0.80	0.82
0.82	0.82
0.75	0.81
0.72	0.86
0.54	0.56
0.44	0.48
0.44	0.50
0.55	0.56
0.51	0.46
0.34	0.35
0.58	0.61
0.67	0.72
0.76	0.75
0.79	0.71
0.74	0.56
0.67	0.67
0.57	0.55
0.73	0.67
0.78	0.80
0.74	0.77
0.72	0.70
0.62	0.77
0.72	0.78
0.87	0.68
0.72	0.73
0.65	0.62
0.69	0.64
0.73	0.58
0.62	0.62
0.82	0.76
0.82	0.82
0.76	0.79
0.64	0.53
0.72	0.66
0.77	0.73
0.59	0.60
0.70	0.58
0.85	0.87
0.75	0.72
0.75	0.80
0.87	0.93
0.87	0.90
0.39	0.46
0.96	0.84
0.52	0.58
0.75	0.78
0.79	0.70
0.96	0.82
0.71	0.70
0.60	0.68
0.72	0.74
1.00	0.48
0.80	0.79
0.74	0.68
0.62	0.61
0.80	1.02
0.46	0.52
0.57	0.60
0.65	0.70
0.36	0.34
0.62	0.59
0.59	0.54
0.30	0.32
0.89	0.63
0.82	0.83
0.49	0.50
0.67	0.67
0.90	0.77
0.98	0.86
0.88	0.85
0.86	0.81
0.69	0.60
0.57	0.71
0.80	0.83
0.90	0.85
0.83	0.84
0.90	0.82
0.77	0.77
0.84	0.79
0.81	0.82
0.68	0.68
0.73	0.69
0.78	0.72
0.76	0.74
0.79	0.76
0.90	0.85
0.72	0.68
0.82	0.72
0.73	0.60
0.53	0.52
0.61	0.64
0.59	0.79
0.67	0.61
0.58	0.47
0.74	0.64
0.58	0.61
0.61	0.61
0.49	0.54
0.64	0.80
0.46	0.38
0.59	0.38
0.81	0.77
0.63	0.62
0.72	0.48
0.68	0.68
0.73	0.65
0.84	0.84
0.67	0.77
0.79	0.74
0.52	0.53
0.56	0.67
0.85	0.86
0.52	0.48
0.69	0.74
0.71	0.77
0.86	0.84
0.85	0.85
0.60	0.64
0.82	0.56
0.70	0.53
0.78	0.76
0.81	0.75
0.81	0.67
0.73	0.52
0.77	0.79
0.85	0.73
0.75	0.72
0.85	0.87
0.84	0.75
0.79	0.73
0.64	0.61
0.83	0.79
0.76	0.75
0.71	0.76
0.82	0.81
0.70	0.74
0.85	0.76
0.84	0.77
0.84	0.84
0.91	0.77
0.80	0.75
0.77	0.71
0.76	0.53
0.89	0.96
0.84	0.78
0.91	0.75
0.64	0.62
0.53	0.55
0.83	0.84
0.69	0.70
0.61	0.60
0.72	0.67
0.80	0.78
0.79	0.80
0.74	0.75
0.73	0.70
0.82	0.81
0.93	0.85
0.84	0.86
0.83	0.72
0.87	0.86
0.84	0.85
0.79	0.77
0.79	0.82
0.88	0.90
0.88	0.74
0.65	0.71
0.59	0.60
0.68	0.75
0.74	0.70
0.78	0.75
0.67	0.72
0.78	0.69
0.60	0.42
0.90	0.82
0.78	0.70
0.61	0.53
0.73	0.72
0.83	0.73
0.87	0.70
0.66	0.76
0.75	0.84
0.74	0.76
0.80	0.83
0.70	0.67
0.77	0.75
0.79	0.63
0.63	0.70
0.80	0.83
0.79	0.81
0.75	0.81
0.70	0.64
0.66	0.75
0.80	0.80
0.76	0.76
0.85	0.88
0.36	0.66
0.76	0.86
0.42	0.65
0.80	0.86
0.70	0.82
0.85	0.86
0.46	0.80
0.71	0.83
0.55	0.76
0.55	0.54
0.61	0.75
0.64	0.72
0.79	0.87
0.91	0.88
0.83	0.89
0.78	0.77
0.70	0.61
0.78	0.86
0.78	0.84
0.80	0.82
0.85	0.80
0.87	0.88
0.73	0.92
0.74	0.82
0.83	0.83
0.83	0.78
0.81	0.80
0.81	0.64
0.61	0.58
0.74	0.63
0.76	0.74
0.58	0.44
0.77	0.70
0.85	0.57
0.74	0.73
0.72	0.73
0.78	0.67
0.81	0.67
0.83	0.66
0.77	0.64
0.80	0.75
0.46	0.45
0.71	0.78
0.86	0.90
0.81	0.83
0.63	0.68
0.73	0.80
0.61	0.61
0.87	0.74
0.83	0.81
0.82	0.79
0.83	0.77
0.70	0.72
0.89	0.92
0.70	0.80
0.83	0.85
0.78	0.72
0.86	0.77
0.64	0.67
0.78	0.72
0.82	0.90
0.71	0.74
0.88	0.83
0.83	0.78
0.83	0.82
0.84	0.68
0.84	0.82
0.73	0.72
0.83	0.87
0.79	0.83
0.86	0.86
0.79	0.51
0.79	0.27
0.74	0.49
0.79	0.34
0.84	0.12
0.79	0.26
0.67	0.30
0.53	0.21
0.73	0.02
0.78	0.28
0.84	0.14
0.73	0.15
0.83	0.64
0.85	0.89
0.87	0.75
0.81	0.77
0.83	0.75
0.75	0.70
0.73	0.68
0.76	0.68
0.80	0.82
0.83	0.85
0.97	0.70
0.85	0.82
0.80	0.74
0.86	0.83
0.79	0.76
