BLEURT-20_ref_A	BLEURT-20_ref_B
0.69	0.79
0.72	0.83
0.82	0.69
0.79	0.68
0.75	0.74
0.81	0.84
0.85	0.79
0.68	0.64
0.61	0.70
0.49	0.41
0.83	0.74
0.85	0.81
0.71	0.70
0.80	0.81
0.49	0.65
0.66	0.59
0.77	0.65
0.71	0.67
0.86	0.81
0.74	0.75
1.00	0.95
0.82	0.83
0.68	0.74
0.85	0.86
0.71	0.77
0.76	0.77
0.81	0.81
0.83	0.87
0.55	0.55
0.70	0.68
0.68	0.67
0.72	0.60
0.65	0.68
0.71	0.66
0.76	0.75
0.70	0.77
0.57	0.56
0.82	0.78
0.39	0.38
0.91	0.86
0.71	0.62
0.79	0.76
0.74	0.78
0.82	0.79
0.71	0.61
0.79	0.72
0.79	0.79
0.59	0.57
0.43	0.40
0.83	0.80
0.66	0.60
0.75	0.66
0.90	0.76
0.85	0.88
0.76	0.78
0.75	0.76
0.80	0.84
0.85	0.72
0.67	0.60
0.65	0.57
0.80	0.78
0.76	0.73
0.93	0.87
0.57	0.57
0.44	0.56
0.66	0.53
0.69	0.67
0.64	0.63
0.48	0.58
0.52	0.41
0.71	0.73
0.73	0.75
0.74	0.66
0.78	0.76
0.66	0.64
0.71	0.71
0.34	0.41
0.61	0.70
0.72	0.79
0.82	0.81
0.80	0.86
0.56	0.75
0.77	0.77
0.70	0.82
0.64	0.65
0.77	0.81
0.88	0.87
0.64	0.70
0.62	0.93
0.96	1.01
0.80	0.81
0.48	0.52
0.85	0.98
0.80	0.79
0.80	0.86
0.67	0.77
0.70	0.79
0.82	0.76
0.72	0.66
0.74	0.66
0.86	0.76
0.78	0.72
0.79	0.71
0.85	0.79
0.80	0.68
0.66	0.53
0.78	0.77
0.76	0.83
0.73	0.78
0.67	0.51
0.75	0.69
0.81	0.73
0.48	0.49
0.77	0.73
0.73	0.61
0.82	0.75
0.70	0.65
0.62	0.61
0.67	0.73
0.76	0.80
0.68	0.77
0.79	0.84
0.77	0.85
0.54	0.60
0.77	0.76
0.67	0.79
0.71	0.75
0.65	0.59
0.56	0.73
0.86	0.94
0.70	0.71
0.72	0.75
0.77	0.80
0.82	0.90
0.63	0.78
0.92	0.94
0.79	0.83
0.98	0.87
0.68	0.78
0.80	0.88
0.84	0.84
0.81	0.85
0.76	0.79
0.86	0.85
0.75	0.72
0.76	0.76
0.70	0.65
0.81	0.88
0.77	0.67
0.63	0.54
0.83	0.73
0.75	0.72
0.87	0.78
0.73	0.68
0.77	0.76
0.67	0.59
0.78	0.74
0.65	0.60
0.87	0.82
0.71	0.71
0.59	0.38
0.90	0.89
0.85	0.79
0.54	0.49
0.79	0.79
0.85	0.81
0.71	0.59
0.43	0.41
0.73	0.66
0.86	0.87
0.71	0.82
0.69	0.72
0.76	0.92
0.67	0.78
0.88	0.86
0.83	0.76
0.84	0.95
0.86	0.81
0.80	0.82
0.79	0.64
0.74	0.79
0.76	0.75
0.90	0.82
0.83	0.82
0.80	0.80
0.82	0.74
0.83	0.75
0.79	0.72
0.86	0.79
0.80	0.77
0.82	0.76
0.84	0.86
0.69	0.82
0.79	0.87
0.72	0.77
0.70	0.77
0.76	0.82
0.68	0.72
0.77	0.84
0.72	0.78
0.81	0.79
0.75	0.70
0.54	0.48
0.81	0.70
0.46	0.38
0.52	0.54
0.35	0.35
0.61	0.53
0.74	0.62
0.72	0.66
0.69	0.60
0.49	0.41
0.50	0.62
0.50	0.48
0.37	0.39
0.73	0.67
0.57	0.51
0.64	0.75
0.59	0.59
0.40	0.46
0.39	0.44
0.66	0.58
0.36	0.41
0.52	0.65
0.61	0.57
0.33	0.44
0.33	0.35
0.70	0.76
0.63	0.72
0.73	0.78
0.82	0.84
0.75	0.85
0.80	0.78
0.84	0.81
0.56	0.74
0.78	0.79
0.85	0.87
0.86	0.74
0.50	0.74
0.75	0.87
0.44	0.49
0.78	0.71
0.85	0.82
0.73	0.73
0.86	0.86
0.81	0.76
0.92	0.95
0.70	0.59
0.96	0.96
0.84	0.91
0.85	0.84
0.69	0.76
0.48	0.60
0.31	0.32
0.73	0.63
0.46	0.42
0.54	0.48
0.61	0.73
0.55	0.55
0.84	0.76
0.74	0.66
0.67	0.62
0.68	0.49
0.49	0.57
0.37	0.36
0.67	0.63
0.69	0.61
0.67	0.54
0.62	0.56
0.60	0.57
0.66	0.70
0.82	0.72
0.64	0.61
0.64	0.58
0.56	0.67
0.38	0.41
0.72	0.68
0.71	0.72
0.80	0.75
0.71	0.51
0.75	0.61
0.66	0.60
0.56	0.71
0.83	0.82
0.86	0.79
0.76	0.84
0.83	0.76
0.82	0.71
0.84	0.78
0.68	0.63
0.75	0.70
0.63	0.69
0.63	0.60
0.74	0.80
0.82	0.81
0.72	0.78
0.81	0.82
0.87	0.82
0.82	0.81
0.73	0.69
0.58	0.71
0.66	0.85
0.59	0.66
0.76	0.76
0.65	0.69
1.01	0.94
0.80	0.87
0.90	0.89
0.87	0.81
0.64	0.72
0.72	0.60
0.81	0.84
0.84	0.90
0.95	0.91
0.84	0.90
0.91	0.92
0.71	0.68
0.76	0.74
0.68	0.67
0.56	0.63
0.90	0.89
0.68	0.68
0.92	0.90
0.83	0.85
0.74	0.77
0.46	0.58
0.74	0.65
0.73	0.75
0.80	0.73
0.83	0.60
0.89	0.79
0.65	0.72
0.81	0.76
0.71	0.73
0.66	0.69
0.74	0.61
0.72	0.69
0.72	0.70
0.69	0.59
0.75	0.69
0.64	0.69
0.58	0.51
0.54	0.52
0.71	0.72
0.89	0.71
0.86	0.84
0.71	0.67
0.86	0.80
0.77	0.76
0.73	0.65
0.82	0.75
0.83	0.83
0.80	0.84
0.78	0.76
0.73	0.79
0.69	0.70
0.75	0.78
0.68	0.67
0.91	0.90
0.69	0.62
0.83	0.80
0.80	0.77
0.62	0.64
0.79	0.78
0.84	0.81
0.84	0.66
0.82	0.82
0.79	0.83
0.75	0.76
0.90	0.89
0.46	0.61
0.76	0.75
0.72	0.67
0.79	0.79
0.78	0.79
0.82	0.80
0.78	0.65
0.86	0.85
0.69	0.69
0.87	0.86
0.68	0.69
0.82	0.80
0.69	0.91
0.78	0.75
0.66	0.68
0.69	0.57
0.71	0.69
0.57	0.59
0.72	0.73
0.73	0.57
0.68	0.66
0.52	0.49
0.59	0.38
0.76	0.78
0.83	0.81
0.85	0.76
0.47	0.54
0.37	0.40
0.66	0.71
0.56	0.62
0.68	0.57
0.57	0.54
0.56	0.49
0.58	0.58
0.69	0.63
0.60	0.47
0.74	0.60
0.71	0.65
0.68	0.44
0.69	0.63
0.62	0.78
0.82	0.85
0.70	0.76
0.84	0.79
0.77	0.79
0.83	0.88
0.70	0.82
0.78	0.83
0.81	0.90
0.64	0.76
0.60	0.62
0.69	0.63
0.69	0.75
0.82	0.81
0.51	0.50
0.57	0.63
0.80	0.77
0.85	0.91
0.67	0.67
0.64	0.72
0.80	0.80
0.70	0.78
0.73	0.77
0.78	0.78
0.79	0.81
0.80	0.80
0.70	0.65
0.46	0.45
0.72	0.75
0.73	0.79
0.71	0.74
0.72	0.80
0.70	0.79
0.89	0.85
0.68	0.79
0.67	0.70
0.62	0.71
0.77	0.82
0.76	0.86
0.57	0.62
0.73	0.81
0.68	0.66
0.64	0.74
0.79	0.87
0.75	0.70
0.59	0.63
0.73	0.76
0.55	0.62
0.80	0.78
0.73	0.72
0.85	0.76
0.65	0.56
0.64	0.60
0.74	0.67
0.77	0.83
0.52	0.64
0.87	0.77
0.71	0.75
0.42	0.35
0.66	0.71
0.71	0.74
0.67	0.78
0.73	0.73
0.75	0.85
0.69	0.69
0.79	0.81
0.81	0.84
0.78	0.82
0.75	0.87
0.55	0.61
0.55	0.58
0.59	0.65
0.48	0.54
0.47	0.42
0.44	0.43
0.56	0.62
0.74	0.73
0.77	0.76
0.81	0.71
0.76	0.59
0.67	0.68
0.66	0.61
0.69	0.61
0.75	0.77
0.75	0.76
0.73	0.73
0.61	0.76
0.69	0.75
0.86	0.68
0.69	0.73
0.63	0.62
0.69	0.64
0.82	0.73
0.74	0.74
0.85	0.81
0.82	0.82
0.77	0.79
0.64	0.53
0.69	0.67
0.79	0.69
0.52	0.50
0.72	0.60
0.74	0.74
0.77	0.76
0.65	0.71
0.90	0.89
0.87	0.90
0.44	0.56
0.96	0.84
0.54	0.56
0.75	0.78
0.90	0.73
0.96	0.82
0.70	0.76
0.66	0.72
0.70	0.73
0.44	0.66
0.80	0.79
0.65	0.65
0.66	0.58
0.80	1.02
0.58	0.67
0.55	0.58
0.75	0.79
0.36	0.34
0.62	0.67
0.60	0.76
0.91	0.58
0.84	0.83
0.80	0.82
0.65	0.52
0.75	0.78
0.98	0.77
0.98	0.86
0.88	0.85
0.86	0.81
0.76	0.69
0.66	0.55
0.86	0.83
0.80	0.77
0.84	0.85
0.90	0.81
0.72	0.71
0.76	0.71
0.80	0.83
0.72	0.67
0.80	0.75
0.79	0.73
0.81	0.80
0.82	0.79
0.82	0.76
0.73	0.75
0.81	0.72
0.73	0.61
0.52	0.53
0.66	0.71
0.59	0.82
0.71	0.56
0.64	0.58
0.73	0.61
0.65	0.68
0.65	0.59
0.54	0.59
0.47	0.56
0.46	0.37
0.50	0.38
0.81	0.77
0.63	0.58
0.71	0.49
0.55	0.51
0.59	0.60
0.82	0.84
0.70	0.78
0.73	0.69
0.54	0.50
0.55	0.68
0.84	0.85
0.72	0.76
0.63	0.68
0.75	0.80
0.77	0.80
0.84	0.84
0.71	0.71
0.80	0.53
0.74	0.58
0.75	0.72
0.79	0.72
0.78	0.57
0.75	0.53
0.75	0.78
0.83	0.71
0.70	0.69
0.79	0.91
0.82	0.72
0.75	0.70
0.56	0.49
0.78	0.80
0.81	0.80
0.68	0.74
0.85	0.86
0.75	0.77
0.88	0.78
0.82	0.75
0.86	0.87
0.83	0.78
0.79	0.76
0.78	0.69
0.76	0.52
0.85	0.84
0.80	0.76
0.87	0.67
0.54	0.58
0.57	0.59
0.83	0.83
0.65	0.66
0.57	0.60
0.71	0.65
0.80	0.80
0.80	0.80
0.73	0.77
0.75	0.70
0.80	0.77
0.86	0.86
0.88	0.88
0.77	0.65
0.86	0.88
0.84	0.85
0.81	0.80
0.82	0.85
0.84	0.85
0.79	0.79
0.68	0.73
0.58	0.55
0.84	0.81
0.76	0.72
0.73	0.72
0.71	0.75
0.74	0.65
0.60	0.42
0.90	0.82
0.76	0.68
0.59	0.53
0.63	0.70
0.81	0.72
0.87	0.70
0.50	0.58
0.73	0.83
0.77	0.81
0.79	0.81
0.77	0.79
0.75	0.79
0.66	0.56
0.72	0.80
0.80	0.83
0.77	0.75
0.76	0.79
0.72	0.67
0.68	0.75
0.81	0.78
0.77	0.80
0.82	0.86
0.64	0.60
0.82	0.81
0.45	0.61
0.79	0.88
0.80	0.86
0.86	0.87
0.47	0.82
0.80	0.81
0.58	0.77
0.68	0.68
0.67	0.74
0.75	0.77
0.80	0.90
0.89	0.87
0.84	0.93
0.80	0.79
0.77	0.85
0.78	0.86
0.78	0.84
0.78	0.76
0.82	0.79
0.75	0.75
0.76	0.82
0.78	0.85
0.83	0.84
0.81	0.80
0.84	0.82
0.82	0.65
0.68	0.66
0.72	0.62
0.64	0.67
0.65	0.56
0.76	0.67
0.82	0.59
0.81	0.79
0.72	0.74
0.79	0.74
0.82	0.70
0.85	0.69
0.75	0.60
0.80	0.75
0.92	0.99
0.72	0.81
0.86	0.89
0.79	0.82
0.63	0.68
0.83	0.84
0.72	0.77
0.84	0.75
0.83	0.81
0.82	0.79
0.84	0.78
0.74	0.75
0.88	0.94
0.68	0.80
0.81	0.88
0.81	0.72
0.76	0.85
0.64	0.67
0.80	0.77
0.82	0.90
0.70	0.75
0.88	0.83
0.81	0.78
0.84	0.81
0.84	0.68
0.82	0.77
0.74	0.73
0.83	0.88
0.80	0.83
0.91	0.85
0.80	0.47
0.80	0.28
0.76	0.49
0.78	0.34
0.87	0.12
0.78	0.25
0.71	0.30
0.52	0.17
0.73	0.02
0.81	0.31
0.83	0.10
0.78	0.17
0.83	0.65
0.85	0.89
0.93	0.73
0.81	0.77
0.80	0.75
0.74	0.68
0.71	0.65
0.76	0.68
0.82	0.81
0.86	0.87
0.92	0.70
0.80	0.82
0.80	0.73
0.86	0.83
0.79	0.76
0.80	0.80
0.83	0.83
0.80	0.74
0.74	0.72
0.77	0.66
0.69	0.61
0.89	0.79
0.75	0.71
0.86	0.89
0.79	0.77
0.80	0.77
0.78	0.80
0.84	0.85
0.73	0.72
0.73	0.71
0.71	0.61
0.77	0.65
0.72	0.73
0.82	0.81
0.85	0.72
0.80	0.69
0.75	0.63
0.83	0.76
0.84	0.86
0.59	0.51
0.75	0.76
0.46	0.57
0.64	0.77
0.67	0.70
0.69	0.74
0.75	0.77
0.74	0.84
0.66	0.70
0.75	0.84
0.74	0.81
0.72	0.78
0.77	0.74
0.76	0.78
0.80	0.84
0.63	0.55
0.71	0.78
0.61	0.65
0.66	0.80
0.69	0.55
0.78	0.83
0.59	0.56
0.83	0.93
0.85	0.89
0.83	0.72
0.79	0.81
0.69	0.74
0.74	0.71
0.75	0.80
0.81	0.83
0.57	0.59
0.83	0.84
0.71	0.74
0.94	0.86
0.32	0.34
0.81	0.76
0.61	0.55
0.83	0.73
0.71	0.67
0.79	0.74
0.62	0.76
0.74	0.72
0.61	0.69
0.72	0.84
0.65	0.66
0.72	0.73
0.57	0.62
0.72	0.77
0.76	0.80
0.84	0.82
0.76	0.55
0.85	0.85
0.83	0.76
0.84	0.83
0.87	0.75
0.85	0.82
0.57	0.52
0.71	0.57
0.78	0.67
0.83	0.85
0.82	0.82
0.68	0.87
0.81	0.81
0.77	0.48
0.69	0.51
0.84	0.76
0.77	0.66
0.71	0.60
0.71	0.69
0.60	0.64
0.82	0.76
0.79	0.83
0.73	0.68
0.79	0.72
0.54	0.49
0.71	0.66
0.80	0.75
0.74	0.74
0.73	0.68
0.68	0.68
0.79	0.73
0.86	0.75
0.61	0.62
0.69	0.72
0.78	0.71
0.80	0.81
0.94	0.87
0.86	0.83
0.76	0.74
0.92	0.73
0.77	0.71
0.77	0.85
0.75	0.69
0.83	0.83
0.85	0.77
0.79	0.81
0.41	0.72
0.74	0.70
0.82	0.65
0.80	0.79
0.84	0.82
0.84	0.79
0.71	0.56
1.00	0.78
0.87	0.90
0.85	0.90
0.80	0.66
0.85	0.77
0.40	0.81
-0.21	0.79
-0.41	0.76
-0.36	0.67
0.00	0.00
-0.35	0.64
-0.39	0.70
-0.48	0.67
0.00	0.00
-0.28	0.55
-0.31	0.73
0.00	0.00
-0.28	0.70
0.84	0.81
0.58	0.64
0.71	0.73
0.79	0.85
0.82	0.86
0.83	0.78
0.88	0.91
0.85	0.85
0.86	0.87
0.83	0.88
0.63	0.65
0.74	0.67
0.66	0.56
0.78	0.73
0.56	0.68
0.57	0.84
0.79	0.76
0.65	0.69
0.73	0.76
0.76	0.81
0.81	0.88
0.79	0.80
0.67	0.76
0.78	0.77
0.79	0.80
0.88	0.82
0.55	0.57
0.60	0.72
0.71	0.67
0.61	0.46
0.70	0.60
0.42	0.52
0.68	0.73
0.54	0.55
0.76	0.72
0.78	0.73
0.73	0.75
0.50	0.37
0.60	0.55
0.82	0.60
0.67	0.67
0.81	0.79
0.67	0.66
0.74	0.74
0.55	0.65
0.67	0.62
0.94	0.77
0.73	0.78
0.53	0.62
0.46	0.45
0.47	0.50
0.91	0.87
0.78	0.78
0.77	0.80
0.76	0.83
0.73	0.81
0.82	0.86
0.82	0.82
0.70	0.66
0.74	0.82
0.46	0.49
0.52	0.54
0.52	0.60
0.73	0.78
0.44	0.72
0.53	0.62
0.54	0.68
0.81	0.76
0.78	0.82
0.68	0.81
0.79	0.74
0.83	0.85
0.88	0.78
0.71	0.75
0.85	0.84
0.75	0.73
0.81	0.79
0.69	0.68
0.59	0.58
0.80	0.77
0.72	0.75
0.74	0.70
0.77	0.79
0.79	0.79
0.79	0.61
0.84	0.76
