BLEURT-20_ref_A	BLEURT-20_ref_B
0.69	0.81
0.69	0.80
0.85	0.67
0.79	0.63
0.73	0.69
0.74	0.81
0.84	0.83
0.72	0.67
0.37	0.51
0.46	0.34
0.85	0.78
0.85	0.81
0.69	0.66
0.70	0.77
0.50	0.55
0.68	0.59
0.71	0.61
0.67	0.65
0.85	0.81
0.71	0.71
0.79	0.80
0.79	0.80
0.67	0.77
0.84	0.84
0.66	0.76
0.61	0.62
0.60	0.61
0.78	0.85
0.59	0.49
0.76	0.74
0.67	0.65
0.64	0.68
0.64	0.74
0.71	0.64
0.78	0.70
0.70	0.79
0.58	0.56
0.86	0.86
0.79	0.54
0.91	0.86
0.76	0.63
0.77	0.77
0.65	0.76
0.82	0.79
0.66	0.56
0.57	0.51
0.74	0.75
0.59	0.67
0.45	0.43
0.54	0.53
0.41	0.40
0.71	0.74
0.83	0.60
0.86	0.90
0.72	0.71
0.77	0.74
0.80	0.84
0.85	0.72
0.64	0.59
0.78	0.71
0.77	0.77
0.79	0.73
0.93	0.87
0.44	0.39
0.30	0.28
0.60	0.48
0.63	0.62
0.65	0.58
0.44	0.50
0.47	0.44
0.78	0.76
0.66	0.77
0.74	0.66
0.66	0.62
0.71	0.65
0.83	0.82
0.67	0.72
0.66	0.73
0.70	0.75
0.82	0.81
0.74	0.77
0.56	0.73
0.75	0.76
0.70	0.82
0.65	0.66
0.79	0.83
0.88	0.87
0.63	0.70
0.66	0.89
0.92	0.97
0.80	0.81
0.48	0.52
0.50	0.66
0.76	0.75
0.80	0.85
0.61	0.72
0.83	0.88
0.80	0.77
0.76	0.72
0.71	0.66
0.86	0.78
0.76	0.71
0.79	0.69
0.83	0.77
0.79	0.59
0.80	0.70
0.75	0.70
0.77	0.84
0.75	0.77
0.71	0.56
0.73	0.70
0.81	0.73
0.38	0.43
0.77	0.72
0.77	0.63
0.82	0.76
0.69	0.62
0.62	0.63
0.64	0.69
0.71	0.78
0.66	0.74
0.79	0.84
0.77	0.86
0.55	0.60
0.75	0.73
0.68	0.81
0.63	0.74
0.80	0.73
0.61	0.77
0.85	0.91
0.75	0.77
0.88	0.90
0.77	0.81
0.77	0.84
0.64	0.75
0.90	0.87
0.79	0.80
0.98	0.87
0.71	0.69
0.81	0.83
0.85	0.78
0.81	0.84
0.69	0.75
0.84	0.84
0.64	0.67
0.74	0.74
0.66	0.61
0.79	0.85
0.84	0.73
0.66	0.54
0.70	0.64
0.69	0.73
0.61	0.64
0.74	0.72
0.61	0.62
0.65	0.59
0.77	0.73
0.65	0.60
0.88	0.81
0.73	0.69
0.60	0.38
0.90	0.89
0.86	0.76
0.53	0.46
0.76	0.71
0.83	0.77
0.67	0.58
0.41	0.43
0.76	0.72
0.81	0.82
0.76	0.82
0.62	0.72
0.82	0.97
0.65	0.79
0.85	0.83
0.82	0.74
0.85	0.83
0.82	0.79
0.81	0.83
0.78	0.70
0.80	0.79
0.80	0.81
0.86	0.83
0.82	0.76
0.82	0.81
0.77	0.70
0.83	0.75
0.79	0.73
0.85	0.77
0.67	0.72
0.79	0.77
0.83	0.89
0.57	0.63
0.79	0.86
0.73	0.75
0.72	0.75
0.54	0.63
0.70	0.76
0.59	0.67
0.71	0.72
0.78	0.73
0.74	0.70
0.44	0.44
0.44	0.41
0.36	0.30
0.43	0.41
0.30	0.32
0.56	0.48
0.53	0.44
0.61	0.59
0.55	0.45
0.43	0.33
0.46	0.47
0.49	0.48
0.33	0.31
0.43	0.38
0.47	0.42
0.63	0.77
0.57	0.59
0.41	0.46
0.37	0.36
0.68	0.60
0.30	0.39
0.41	0.52
0.59	0.59
0.30	0.42
0.40	0.43
0.61	0.65
0.74	0.78
0.73	0.78
0.85	0.85
0.68	0.74
0.82	0.78
0.91	0.85
0.57	0.79
0.44	0.48
0.85	0.82
0.86	0.76
0.48	0.54
0.75	0.87
0.53	0.49
0.71	0.74
0.76	0.75
0.85	0.67
0.72	0.72
0.85	0.81
0.80	0.80
0.63	0.53
0.96	0.96
0.75	0.78
0.85	0.84
0.68	0.72
0.47	0.51
0.45	0.43
0.69	0.60
0.38	0.37
0.51	0.47
0.67	0.70
0.65	0.63
0.81	0.64
0.65	0.58
0.72	0.66
0.65	0.46
0.41	0.50
0.41	0.41
0.64	0.60
0.64	0.57
0.68	0.55
0.79	0.72
0.71	0.65
0.69	0.66
0.83	0.73
0.63	0.60
0.63	0.57
0.59	0.68
0.36	0.44
0.81	0.78
0.53	0.43
0.79	0.70
0.71	0.44
0.69	0.54
0.67	0.57
0.70	0.76
0.80	0.79
0.86	0.83
0.70	0.83
0.83	0.77
0.81	0.68
0.80	0.78
0.67	0.65
0.74	0.68
0.62	0.69
0.53	0.58
0.69	0.80
0.82	0.81
0.74	0.78
0.80	0.82
0.80	0.75
0.80	0.81
0.66	0.64
0.56	0.73
0.66	0.85
0.50	0.58
0.71	0.69
0.63	0.70
0.97	0.90
0.80	0.87
0.91	0.89
0.87	0.82
0.61	0.54
0.76	0.69
0.74	0.78
0.85	0.92
0.95	0.91
0.84	0.85
0.90	0.89
0.73	0.65
0.74	0.71
0.68	0.67
0.79	0.76
0.90	0.88
0.64	0.60
0.82	0.82
0.82	0.85
0.74	0.77
0.41	0.52
0.73	0.66
0.70	0.72
0.75	0.72
0.81	0.60
0.87	0.75
0.51	0.54
0.73	0.69
0.73	0.72
0.86	0.82
0.61	0.62
0.67	0.68
0.78	0.81
0.77	0.66
0.73	0.66
0.60	0.66
0.58	0.55
0.56	0.54
0.72	0.72
0.89	0.71
0.84	0.82
0.70	0.67
0.78	0.68
0.62	0.61
0.71	0.61
0.80	0.73
0.83	0.83
0.80	0.81
0.78	0.78
0.71	0.79
0.38	0.37
0.75	0.78
0.71	0.71
0.91	0.90
0.69	0.62
0.79	0.75
0.69	0.73
0.64	0.66
0.76	0.75
0.77	0.76
0.82	0.68
0.83	0.82
0.81	0.81
0.76	0.76
0.87	0.88
0.49	0.57
0.66	0.67
0.73	0.70
0.68	0.64
0.76	0.76
0.66	0.61
0.65	0.57
0.89	0.87
0.72	0.71
0.87	0.86
0.57	0.54
0.80	0.79
0.69	0.91
0.80	0.77
0.64	0.68
0.79	0.67
0.67	0.59
0.65	0.66
0.59	0.61
0.60	0.56
0.68	0.70
0.54	0.53
0.51	0.40
0.77	0.81
0.69	0.65
0.75	0.73
0.48	0.57
0.41	0.43
0.57	0.65
0.59	0.59
0.62	0.48
0.63	0.57
0.60	0.57
0.60	0.54
0.73	0.63
0.59	0.47
0.66	0.53
0.70	0.66
0.69	0.52
0.69	0.59
0.63	0.84
0.75	0.80
0.70	0.77
0.87	0.80
0.81	0.83
0.81	0.83
0.60	0.80
0.80	0.84
0.84	0.92
0.63	0.85
0.47	0.55
0.69	0.63
0.67	0.75
0.82	0.81
0.41	0.46
0.55	0.71
0.75	0.61
0.85	0.91
0.60	0.73
0.60	0.68
0.80	0.82
0.72	0.80
0.71	0.72
0.71	0.68
0.82	0.83
0.78	0.77
0.66	0.65
0.51	0.47
0.66	0.81
0.63	0.66
0.51	0.55
0.69	0.78
0.68	0.77
0.88	0.83
0.63	0.76
0.70	0.77
0.55	0.64
0.76	0.79
0.74	0.83
0.55	0.58
0.75	0.82
0.74	0.74
0.64	0.71
0.81	0.85
0.73	0.71
0.62	0.65
0.76	0.79
0.55	0.60
0.80	0.76
0.73	0.70
0.85	0.80
0.60	0.60
0.61	0.62
0.74	0.69
0.79	0.83
0.61	0.54
0.87	0.76
0.68	0.71
0.42	0.33
0.71	0.75
0.74	0.75
0.67	0.78
0.77	0.78
0.71	0.80
0.53	0.54
0.74	0.77
0.83	0.86
0.80	0.82
0.68	0.83
0.59	0.65
0.53	0.53
0.48	0.50
0.44	0.41
0.50	0.38
0.36	0.35
0.60	0.62
0.75	0.75
0.75	0.75
0.90	0.77
0.77	0.62
0.69	0.69
0.62	0.58
0.69	0.59
0.47	0.46
0.68	0.70
0.71	0.72
0.60	0.75
0.72	0.77
0.86	0.67
0.70	0.72
0.64	0.59
0.69	0.64
0.81	0.72
0.73	0.73
0.79	0.76
0.82	0.82
0.76	0.79
0.62	0.48
0.66	0.67
0.75	0.71
0.63	0.63
0.59	0.54
0.86	0.88
0.75	0.72
0.76	0.80
0.87	0.93
0.87	0.90
0.41	0.51
0.71	0.62
0.44	0.49
0.75	0.78
0.63	0.63
0.88	0.67
0.73	0.72
0.59	0.66
0.69	0.69
0.38	0.51
0.81	0.82
0.71	0.58
0.52	0.54
0.80	1.02
0.37	0.38
0.52	0.61
0.66	0.70
0.37	0.34
0.60	0.62
0.58	0.48
0.88	0.56
0.84	0.83
0.81	0.83
0.56	0.51
0.66	0.69
0.93	0.77
0.91	0.86
0.84	0.82
0.92	0.84
0.40	0.36
0.68	0.59
0.73	0.77
0.86	0.84
0.85	0.85
0.87	0.83
0.61	0.69
0.70	0.63
0.75	0.79
0.63	0.60
0.79	0.76
0.79	0.73
0.81	0.81
0.87	0.78
0.89	0.85
0.49	0.45
0.81	0.70
0.68	0.59
0.55	0.51
0.66	0.71
0.59	0.79
0.66	0.46
0.52	0.45
0.74	0.63
0.55	0.59
0.68	0.55
0.46	0.49
0.60	0.74
0.50	0.36
0.61	0.42
0.81	0.77
0.64	0.63
0.73	0.49
0.77	0.74
0.73	0.65
0.78	0.73
0.68	0.75
0.74	0.70
0.52	0.50
0.52	0.61
0.82	0.86
0.69	0.74
0.54	0.64
0.82	0.75
0.74	0.78
0.80	0.84
0.58	0.61
0.56	0.53
0.64	0.52
0.76	0.73
0.79	0.72
0.76	0.58
0.74	0.48
0.78	0.78
0.85	0.70
0.69	0.70
0.85	0.78
0.82	0.74
0.85	0.72
0.65	0.62
0.83	0.77
0.69	0.67
0.71	0.75
0.85	0.89
0.75	0.76
0.84	0.79
0.81	0.73
0.87	0.86
0.83	0.77
0.78	0.71
0.75	0.68
0.79	0.56
0.89	0.96
0.72	0.67
0.75	0.66
0.59	0.63
0.58	0.64
0.82	0.84
0.66	0.67
0.48	0.49
0.71	0.65
0.79	0.72
0.81	0.82
0.73	0.77
0.69	0.67
0.82	0.81
0.92	0.86
0.84	0.85
0.77	0.62
0.86	0.86
0.84	0.84
0.79	0.79
0.81	0.83
0.86	0.89
0.85	0.77
0.74	0.76
0.57	0.55
0.84	0.81
0.72	0.68
0.76	0.74
0.65	0.70
0.75	0.67
0.58	0.41
0.86	0.81
0.74	0.68
0.63	0.53
0.69	0.72
0.80	0.76
0.87	0.70
0.65	0.75
0.74	0.81
0.73	0.80
0.79	0.83
0.61	0.55
0.67	0.84
0.84	0.78
0.66	0.77
0.81	0.82
0.73	0.76
0.73	0.79
0.68	0.72
0.67	0.76
0.84	0.81
0.76	0.75
0.82	0.86
0.42	0.49
0.82	0.86
0.41	0.59
0.79	0.86
0.71	0.78
0.85	0.85
0.44	0.82
0.69	0.77
0.55	0.77
0.79	0.83
0.68	0.74
0.60	0.70
0.82	0.84
0.89	0.87
0.85	0.84
0.80	0.79
0.75	0.83
0.68	0.73
0.77	0.83
0.78	0.72
0.79	0.80
0.88	0.87
0.68	0.78
0.74	0.84
0.81	0.85
0.83	0.78
0.82	0.81
0.81	0.65
0.70	0.66
0.68	0.56
0.73	0.58
0.62	0.47
0.76	0.64
0.82	0.52
0.77	0.74
0.69	0.70
0.66	0.57
0.63	0.49
0.83	0.61
0.75	0.61
0.79	0.75
0.84	0.95
0.75	0.82
0.86	0.90
0.79	0.83
0.63	0.68
0.83	0.84
0.61	0.61
0.84	0.75
0.83	0.81
0.82	0.82
0.83	0.75
