COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.051	0.049
0.053	0.062
0.054	0.048
0.045	0.041
0.050	0.047
0.055	0.054
0.057	0.052
0.046	0.042
0.031	0.029
0.040	0.033
0.047	0.044
0.060	0.052
0.045	0.047
0.057	0.058
0.044	0.049
0.045	0.046
0.044	0.043
0.032	0.036
0.048	0.047
0.049	0.051
0.054	0.054
0.044	0.044
0.034	0.034
0.060	0.059
0.042	0.042
0.040	0.038
0.055	0.054
0.051	0.058
0.036	0.038
0.036	0.037
0.046	0.043
0.032	0.032
0.041	0.042
0.026	0.025
0.044	0.046
0.048	0.052
0.040	0.040
0.044	0.048
0.045	0.035
0.053	0.045
0.035	0.035
0.041	0.035
0.041	0.042
0.061	0.064
0.028	0.026
0.034	0.030
0.033	0.036
0.035	0.033
0.023	0.025
0.047	0.049
0.029	0.027
0.045	0.040
0.058	0.056
0.055	0.057
0.047	0.044
0.050	0.051
0.059	0.062
0.058	0.055
0.048	0.045
0.046	0.044
0.051	0.045
0.055	0.052
0.057	0.053
0.028	0.030
0.015	0.015
0.018	0.016
0.014	0.014
0.036	0.036
0.021	0.023
0.030	0.027
0.036	0.037
0.038	0.040
0.060	0.054
0.049	0.049
0.047	0.048
0.037	0.037
0.025	0.027
0.039	0.043
0.032	0.033
0.046	0.045
0.051	0.053
0.025	0.029
0.040	0.038
0.041	0.043
0.037	0.035
0.046	0.048
0.058	0.064
0.023	0.023
0.038	0.045
0.054	0.059
0.055	0.054
0.013	0.017
0.024	0.027
0.041	0.041
0.041	0.040
0.038	0.035
0.039	0.041
0.045	0.045
0.047	0.047
0.047	0.047
0.050	0.048
0.050	0.048
0.057	0.048
0.051	0.048
0.038	0.035
0.051	0.049
0.049	0.048
0.044	0.045
0.030	0.029
0.045	0.041
0.046	0.042
0.046	0.042
0.009	0.006
0.028	0.026
0.047	0.042
0.043	0.042
0.038	0.035
0.031	0.029
0.043	0.040
0.048	0.052
0.032	0.037
0.051	0.055
0.050	0.053
0.046	0.051
0.039	0.039
0.037	0.041
0.038	0.035
0.047	0.041
0.035	0.039
0.060	0.063
0.033	0.036
0.026	0.033
0.041	0.042
0.040	0.058
0.021	0.025
0.065	0.067
0.042	0.043
0.036	0.035
0.041	0.047
0.054	0.068
0.052	0.052
0.055	0.059
0.050	0.053
0.048	0.048
0.043	0.044
0.040	0.038
0.028	0.026
0.054	0.059
0.041	0.039
0.035	0.035
0.045	0.042
0.024	0.025
0.057	0.055
0.030	0.030
0.032	0.032
0.022	0.023
0.043	0.042
0.050	0.051
0.061	0.056
0.042	0.044
0.044	0.037
0.073	0.070
0.050	0.049
0.026	0.025
0.049	0.044
0.044	0.043
0.044	0.043
0.026	0.025
0.047	0.048
0.060	0.060
0.045	0.051
0.038	0.038
0.047	0.055
0.035	0.038
0.059	0.059
0.054	0.052
0.052	0.052
0.061	0.046
0.050	0.056
0.044	0.047
0.052	0.052
0.050	0.049
0.061	0.054
0.050	0.050
0.036	0.037
0.034	0.030
0.062	0.058
0.059	0.058
0.051	0.048
0.048	0.048
0.035	0.035
0.048	0.048
0.026	0.033
0.048	0.054
0.027	0.029
0.039	0.045
0.027	0.027
0.033	0.035
0.038	0.041
0.044	0.047
0.042	0.045
0.034	0.037
0.034	0.031
0.036	0.033
0.015	0.014
0.011	0.011
0.006	0.006
0.026	0.023
0.039	0.033
0.030	0.029
0.041	0.037
0.025	0.020
0.023	0.026
0.023	0.020
0.021	0.022
0.018	0.016
0.023	0.022
0.035	0.042
0.012	0.014
0.007	0.009
0.011	0.012
0.015	0.015
0.006	0.009
0.021	0.024
0.025	0.024
0.014	0.017
0.020	0.022
0.053	0.053
0.034	0.035
0.048	0.053
0.054	0.054
0.045	0.047
0.044	0.042
0.045	0.043
0.036	0.035
0.034	0.034
0.049	0.049
0.052	0.049
0.043	0.048
0.040	0.045
0.029	0.029
0.038	0.032
0.057	0.049
0.056	0.052
0.031	0.031
0.054	0.047
0.061	0.060
0.036	0.032
0.066	0.066
0.048	0.049
0.066	0.065
0.029	0.029
0.021	0.018
0.014	0.016
0.028	0.026
0.015	0.015
0.006	0.004
0.037	0.032
0.016	0.016
0.033	0.028
0.024	0.023
0.034	0.030
0.031	0.030
0.031	0.030
0.020	0.015
0.031	0.031
0.029	0.023
0.034	0.038
0.039	0.038
0.013	0.016
0.025	0.026
0.038	0.037
0.033	0.032
0.024	0.024
0.043	0.043
0.032	0.034
0.036	0.036
0.040	0.038
0.041	0.039
0.025	0.028
0.041	0.036
0.045	0.043
0.044	0.046
0.050	0.049
0.045	0.048
0.054	0.058
0.055	0.051
0.059	0.055
0.060	0.052
0.035	0.037
0.042	0.042
0.033	0.034
0.025	0.027
0.039	0.039
0.053	0.050
0.041	0.042
0.053	0.053
0.060	0.054
0.059	0.059
0.032	0.033
0.043	0.048
0.031	0.043
0.017	0.021
0.047	0.049
0.022	0.025
0.067	0.062
0.055	0.059
0.062	0.064
0.049	0.048
0.038	0.037
0.055	0.059
0.059	0.055
0.064	0.073
0.064	0.062
0.062	0.062
0.053	0.047
0.048	0.045
0.053	0.052
0.054	0.058
0.062	0.060
0.067	0.066
0.039	0.041
0.064	0.058
0.052	0.053
0.051	0.046
0.021	0.022
0.040	0.038
0.042	0.043
0.040	0.034
0.042	0.033
0.039	0.036
0.031	0.031
0.036	0.036
0.041	0.041
0.059	0.062
0.038	0.031
0.028	0.030
0.047	0.046
0.035	0.032
0.041	0.039
0.036	0.036
0.030	0.027
0.029	0.024
0.045	0.047
0.057	0.045
0.053	0.048
0.042	0.044
0.046	0.041
0.043	0.042
