COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.051	0.049
0.053	0.062
0.054	0.048
0.046	0.042
0.052	0.049
0.055	0.054
0.058	0.055
0.046	0.042
0.032	0.030
0.030	0.027
0.047	0.044
0.057	0.051
0.048	0.049
0.051	0.053
0.042	0.047
0.045	0.046
0.044	0.042
0.033	0.036
0.050	0.049
0.033	0.031
0.054	0.053
0.048	0.048
0.036	0.037
0.060	0.056
0.045	0.046
0.038	0.037
0.038	0.038
0.052	0.055
0.031	0.033
0.033	0.033
0.038	0.035
0.032	0.033
0.038	0.042
0.024	0.022
0.042	0.042
0.048	0.052
0.038	0.038
0.054	0.049
0.042	0.035
0.053	0.046
0.036	0.036
0.041	0.036
0.045	0.048
0.061	0.064
0.030	0.028
0.028	0.023
0.038	0.042
0.033	0.034
0.027	0.029
0.046	0.050
0.026	0.024
0.045	0.041
0.058	0.056
0.049	0.051
0.035	0.031
0.048	0.047
0.055	0.058
0.057	0.055
0.051	0.050
0.047	0.044
0.054	0.047
0.048	0.046
0.056	0.051
0.017	0.019
0.016	0.018
0.026	0.023
0.035	0.031
0.036	0.036
0.026	0.027
0.029	0.027
0.044	0.044
0.033	0.035
0.055	0.051
0.047	0.048
0.041	0.042
0.038	0.039
0.025	0.028
0.039	0.043
0.033	0.034
0.046	0.045
0.049	0.051
0.027	0.030
0.040	0.038
0.041	0.043
0.044	0.043
0.043	0.043
0.058	0.064
0.024	0.024
0.036	0.039
0.054	0.059
0.056	0.056
0.019	0.022
0.023	0.026
0.042	0.042
0.041	0.040
0.036	0.032
0.045	0.046
0.045	0.045
0.046	0.045
0.045	0.046
0.053	0.052
0.048	0.047
0.057	0.048
0.050	0.046
0.032	0.028
0.046	0.044
0.050	0.049
0.044	0.046
0.028	0.027
0.033	0.032
0.046	0.042
0.046	0.042
0.013	0.010
0.033	0.033
0.046	0.041
0.047	0.047
0.042	0.039
0.036	0.034
0.044	0.041
0.046	0.051
0.031	0.036
0.052	0.056
0.051	0.054
0.039	0.042
0.040	0.039
0.042	0.046
0.040	0.038
0.048	0.042
0.038	0.042
0.060	0.063
0.033	0.035
0.026	0.033
0.041	0.042
0.040	0.058
0.020	0.025
0.066	0.065
0.041	0.041
0.044	0.039
0.039	0.042
0.052	0.061
0.055	0.054
0.054	0.060
0.052	0.059
0.048	0.048
0.045	0.044
0.041	0.039
0.024	0.022
0.055	0.060
0.041	0.036
0.040	0.038
0.045	0.042
0.024	0.025
0.050	0.049
0.033	0.035
0.028	0.027
0.022	0.023
0.051	0.051
0.048	0.048
0.064	0.057
0.037	0.039
0.043	0.036
0.073	0.070
0.044	0.041
0.016	0.013
0.045	0.040
0.044	0.043
0.044	0.043
0.036	0.035
0.036	0.032
0.060	0.060
0.045	0.050
0.039	0.036
0.042	0.050
0.033	0.036
0.059	0.059
0.052	0.052
0.043	0.041
0.060	0.047
0.039	0.042
0.041	0.044
0.053	0.051
0.050	0.050
0.061	0.059
0.057	0.054
0.038	0.039
0.033	0.030
0.062	0.058
0.044	0.040
0.051	0.048
0.056	0.049
0.043	0.042
0.045	0.047
0.030	0.034
0.048	0.054
0.031	0.032
0.042	0.048
0.048	0.045
0.033	0.035
0.037	0.040
0.043	0.046
0.042	0.045
0.034	0.038
0.030	0.026
0.019	0.015
0.012	0.012
0.016	0.017
0.012	0.011
0.026	0.023
0.042	0.035
0.031	0.029
0.036	0.033
0.023	0.020
0.025	0.027
0.025	0.024
0.027	0.025
0.019	0.016
0.021	0.021
0.038	0.046
0.014	0.014
0.011	0.014
0.012	0.012
0.021	0.019
0.008	0.013
0.019	0.023
0.023	0.023
0.014	0.015
0.026	0.029
0.051	0.050
0.045	0.040
0.046	0.051
0.054	0.054
0.046	0.047
0.044	0.042
0.044	0.042
0.031	0.030
0.032	0.032
0.059	0.059
0.053	0.049
0.043	0.042
0.039	0.045
0.023	0.026
0.042	0.036
0.056	0.049
0.054	0.050
0.032	0.032
0.056	0.048
0.061	0.060
0.031	0.030
0.066	0.066
0.047	0.047
0.065	0.065
0.029	0.032
0.019	0.015
0.023	0.026
0.027	0.024
0.026	0.025
0.009	0.007
0.025	0.025
0.022	0.024
0.033	0.035
0.034	0.032
0.035	0.030
0.036	0.035
0.029	0.033
0.029	0.028
0.038	0.037
0.035	0.031
0.036	0.039
0.036	0.036
0.032	0.032
0.032	0.032
0.039	0.037
0.033	0.032
0.029	0.029
0.027	0.026
0.030	0.032
0.036	0.036
0.039	0.038
0.045	0.041
0.025	0.031
0.041	0.036
0.043	0.043
0.048	0.049
0.051	0.049
0.045	0.048
0.055	0.059
0.057	0.052
0.059	0.053
0.065	0.055
0.033	0.034
0.042	0.043
0.031	0.032
0.031	0.033
0.045	0.046
0.057	0.054
0.039	0.041
0.052	0.052
0.058	0.054
0.053	0.052
0.039	0.043
0.041	0.041
0.055	0.051
0.017	0.021
0.049	0.050
0.025	0.027
0.067	0.062
0.054	0.059
0.062	0.061
0.049	0.048
0.035	0.035
0.051	0.046
0.040	0.041
0.066	0.070
0.070	0.064
0.059	0.065
0.058	0.054
0.048	0.045
0.055	0.054
0.053	0.055
0.053	0.052
0.068	0.066
0.039	0.041
0.062	0.059
0.054	0.053
0.051	0.046
0.025	0.025
0.038	0.036
0.042	0.043
0.046	0.039
0.043	0.033
0.039	0.036
0.033	0.033
0.035	0.032
0.039	0.035
0.060	0.055
0.042	0.035
0.035	0.035
0.045	0.044
0.031	0.029
0.039	0.036
0.037	0.037
0.027	0.023
0.025	0.019
0.045	0.046
0.060	0.045
0.053	0.047
0.045	0.046
0.046	0.041
0.047	0.043
