COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.051	0.053
0.053	0.062
0.054	0.048
0.046	0.042
0.051	0.049
0.055	0.054
0.058	0.054
0.043	0.040
0.031	0.031
0.037	0.037
0.049	0.048
0.057	0.051
0.046	0.047
0.057	0.058
0.046	0.050
0.044	0.045
0.037	0.036
0.031	0.037
0.049	0.048
0.048	0.050
0.069	0.066
0.049	0.049
0.036	0.035
0.060	0.059
0.043	0.044
0.040	0.039
0.055	0.054
0.051	0.057
0.030	0.032
0.035	0.037
0.045	0.043
0.035	0.034
0.039	0.041
0.028	0.027
0.050	0.049
0.048	0.050
0.040	0.039
0.047	0.042
0.033	0.028
0.053	0.046
0.035	0.034
0.043	0.038
0.048	0.048
0.061	0.064
0.031	0.029
0.052	0.048
0.045	0.049
0.034	0.032
0.025	0.027
0.046	0.047
0.028	0.027
0.044	0.041
0.055	0.054
0.055	0.057
0.045	0.044
0.050	0.049
0.055	0.058
0.057	0.055
0.050	0.049
0.042	0.040
0.055	0.048
0.050	0.047
0.058	0.053
0.033	0.032
0.024	0.023
0.027	0.024
0.037	0.034
0.034	0.035
0.025	0.029
0.032	0.030
0.038	0.038
0.043	0.043
0.055	0.051
0.049	0.049
0.043	0.043
0.034	0.036
0.017	0.018
0.039	0.043
0.034	0.036
0.046	0.045
0.051	0.054
0.029	0.032
0.040	0.037
0.041	0.043
0.029	0.028
0.047	0.048
0.058	0.064
0.022	0.023
0.040	0.046
0.054	0.059
0.055	0.057
0.013	0.017
0.043	0.054
0.042	0.042
0.039	0.038
0.038	0.035
0.043	0.043
0.045	0.045
0.046	0.045
0.046	0.047
0.055	0.052
0.047	0.047
0.057	0.047
0.050	0.048
0.050	0.046
0.040	0.037
0.050	0.050
0.039	0.039
0.036	0.034
0.038	0.036
0.048	0.044
0.046	0.042
0.012	0.008
0.039	0.039
0.043	0.037
0.042	0.042
0.042	0.039
0.037	0.034
0.033	0.030
0.047	0.049
0.033	0.037
0.053	0.056
0.052	0.055
0.026	0.030
0.040	0.040
0.037	0.041
0.041	0.040
0.042	0.039
0.035	0.040
0.060	0.063
0.033	0.036
0.026	0.033
0.041	0.043
0.040	0.056
0.021	0.026
0.066	0.068
0.044	0.044
0.045	0.039
0.042	0.048
0.054	0.065
0.055	0.055
0.054	0.060
0.049	0.052
0.048	0.048
0.045	0.047
0.041	0.039
0.026	0.024
0.055	0.061
0.041	0.038
0.041	0.040
0.047	0.043
0.026	0.027
0.060	0.053
0.033	0.035
0.032	0.031
0.025	0.027
0.050	0.049
0.043	0.041
0.062	0.057
0.041	0.045
0.040	0.036
0.071	0.069
0.050	0.049
0.017	0.014
0.045	0.044
0.045	0.044
0.040	0.039
0.031	0.030
0.050	0.043
0.060	0.060
0.044	0.050
0.035	0.037
0.042	0.049
0.036	0.039
0.060	0.060
0.053	0.050
0.052	0.057
0.060	0.046
0.050	0.054
0.039	0.035
0.050	0.050
0.048	0.047
0.061	0.059
0.053	0.051
0.038	0.039
0.034	0.031
0.062	0.058
0.058	0.057
0.052	0.048
0.050	0.054
0.042	0.040
0.047	0.049
0.036	0.039
0.048	0.054
0.031	0.033
0.042	0.048
0.045	0.042
0.033	0.034
0.041	0.045
0.040	0.048
0.042	0.047
0.033	0.037
0.029	0.025
0.039	0.037
0.018	0.016
0.019	0.019
0.009	0.010
0.022	0.019
0.039	0.032
0.040	0.036
0.036	0.032
0.020	0.015
0.022	0.027
0.026	0.023
0.018	0.019
0.028	0.025
0.024	0.022
0.040	0.047
0.020	0.020
0.007	0.010
0.012	0.013
0.018	0.017
0.008	0.011
0.025	0.029
0.024	0.021
0.009	0.011
0.022	0.025
0.053	0.053
0.038	0.037
0.045	0.050
0.052	0.055
0.050	0.052
0.043	0.041
0.041	0.040
0.035	0.039
0.048	0.048
0.059	0.061
0.052	0.048
0.035	0.036
0.038	0.046
0.026	0.027
0.039	0.034
0.056	0.052
0.050	0.051
0.048	0.048
0.048	0.046
0.070	0.067
0.035	0.032
0.066	0.066
0.051	0.053
0.065	0.065
0.028	0.028
0.023	0.018
0.006	0.007
0.033	0.030
0.018	0.018
0.010	0.008
0.028	0.029
0.021	0.021
0.035	0.030
0.032	0.031
0.034	0.030
0.038	0.036
0.031	0.031
0.013	0.010
0.029	0.029
0.034	0.030
0.036	0.039
0.040	0.040
0.016	0.020
0.035	0.035
0.038	0.037
0.033	0.034
0.027	0.027
0.043	0.043
0.027	0.029
0.031	0.031
0.040	0.036
0.043	0.042
0.026	0.031
0.041	0.037
0.042	0.040
0.044	0.045
0.050	0.048
0.051	0.046
0.055	0.059
0.056	0.052
0.061	0.056
0.065	0.055
0.035	0.037
0.043	0.043
0.030	0.031
0.037	0.038
0.044	0.046
0.057	0.055
0.045	0.045
0.053	0.053
0.060	0.054
0.055	0.054
0.038	0.042
0.044	0.043
0.031	0.042
0.019	0.023
0.048	0.050
0.019	0.023
0.067	0.062
0.055	0.060
0.062	0.061
0.049	0.048
0.042	0.043
0.047	0.045
0.058	0.059
0.066	0.070
0.070	0.064
0.059	0.065
0.059	0.055
0.052	0.051
0.056	0.055
0.053	0.055
0.052	0.053
0.068	0.067
0.038	0.040
0.062	0.059
0.054	0.053
0.050	0.046
0.023	0.025
0.041	0.038
0.042	0.044
0.043	0.036
0.043	0.033
0.050	0.045
0.041	0.044
0.038	0.036
0.039	0.039
0.047	0.045
0.041	0.036
0.035	0.036
0.040	0.038
0.033	0.031
0.042	0.041
0.040	0.040
0.025	0.022
0.029	0.023
0.044	0.046
0.060	0.045
0.053	0.047
0.042	0.044
0.056	0.047
0.043	0.042
0.048	0.042
0.054	0.052
0.057	0.057
0.052	0.055
0.050	0.047
0.036	0.041
0.042	0.041
0.049	0.049
0.045	0.040
0.066	0.070
0.047	0.043
0.054	0.052
0.051	0.047
0.045	0.044
0.045	0.047
0.056	0.055
0.050	0.044
0.045	0.043
0.058	0.060
0.043	0.041
0.070	0.063
0.036	0.038
0.046	0.046
0.041	0.037
0.050	0.049
0.054	0.056
0.058	0.054
0.035	0.031
0.064	0.063
0.043	0.042
0.058	0.057
0.039	0.038
0.048	0.043
