COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.051	0.053
0.053	0.062
0.054	0.048
0.046	0.046
0.054	0.050
0.052	0.052
0.058	0.055
0.044	0.043
0.024	0.022
0.031	0.027
0.050	0.052
0.051	0.048
0.042	0.044
0.052	0.054
0.030	0.035
0.043	0.043
0.030	0.026
0.025	0.025
0.050	0.049
0.032	0.029
0.044	0.045
0.046	0.046
0.036	0.035
0.060	0.059
0.043	0.043
0.039	0.037
0.044	0.045
0.047	0.053
0.026	0.027
0.037	0.039
0.037	0.033
0.035	0.036
0.039	0.041
0.022	0.021
0.043	0.044
0.048	0.051
0.040	0.040
0.052	0.050
0.045	0.035
0.051	0.045
0.036	0.036
0.037	0.033
0.036	0.039
0.062	0.063
0.031	0.029
0.034	0.030
0.041	0.046
0.033	0.034
0.035	0.038
0.045	0.049
0.026	0.029
0.034	0.030
0.058	0.056
0.054	0.055
0.031	0.032
0.049	0.049
0.050	0.051
0.058	0.055
0.042	0.039
0.043	0.042
0.051	0.045
0.051	0.048
0.057	0.053
0.015	0.017
0.021	0.018
0.019	0.017
0.032	0.030
0.031	0.032
0.022	0.024
0.024	0.023
0.029	0.029
0.042	0.045
0.054	0.051
0.043	0.044
0.040	0.041
0.032	0.033
0.013	0.014
0.032	0.035
0.032	0.032
0.046	0.045
0.047	0.049
0.018	0.021
0.027	0.025
0.041	0.043
0.037	0.036
0.046	0.048
0.058	0.064
0.026	0.026
0.039	0.045
0.048	0.050
0.057	0.060
0.013	0.017
0.020	0.022
0.044	0.043
0.038	0.037
0.033	0.033
0.028	0.029
0.039	0.037
0.043	0.043
0.034	0.034
0.057	0.054
0.049	0.048
0.056	0.048
0.051	0.049
0.033	0.027
0.046	0.044
0.049	0.047
0.044	0.046
0.037	0.036
0.035	0.035
0.041	0.037
0.034	0.033
0.008	0.005
0.034	0.033
0.045	0.040
0.049	0.047
0.039	0.035
0.036	0.034
0.033	0.030
0.046	0.050
0.028	0.032
0.052	0.055
0.050	0.053
0.036	0.039
0.037	0.038
0.042	0.045
0.039	0.039
0.045	0.037
0.033	0.038
0.056	0.059
0.032	0.035
0.028	0.035
0.026	0.027
0.039	0.052
0.021	0.025
0.061	0.062
0.040	0.039
0.041	0.037
0.035	0.038
0.053	0.058
0.054	0.052
0.055	0.059
0.050	0.057
0.047	0.048
0.030	0.031
0.041	0.039
0.023	0.021
0.056	0.058
0.043	0.040
0.035	0.034
0.044	0.042
0.022	0.024
0.050	0.049
0.033	0.034
0.030	0.029
0.026	0.027
0.044	0.041
0.035	0.034
0.057	0.053
0.038	0.041
0.041	0.036
0.072	0.071
0.049	0.047
0.023	0.021
0.046	0.043
0.044	0.043
0.032	0.031
0.029	0.029
0.051	0.043
0.058	0.061
0.045	0.049
0.037	0.034
0.042	0.050
0.032	0.034
0.058	0.057
0.050	0.049
0.061	0.054
0.054	0.044
0.045	0.050
0.035	0.038
0.046	0.044
0.049	0.049
0.061	0.055
0.054	0.053
0.038	0.039
0.031	0.029
0.062	0.058
0.059	0.058
0.051	0.047
0.016	0.013
0.040	0.039
0.037	0.040
0.023	0.027
0.020	0.020
0.017	0.021
0.042	0.048
0.024	0.025
0.026	0.028
0.030	0.033
0.036	0.040
0.041	0.046
0.031	0.035
0.041	0.037
0.030	0.027
0.012	0.012
0.013	0.014
-0.000	-0.001
0.018	0.015
0.028	0.027
0.029	0.027
0.037	0.034
0.016	0.011
0.021	0.024
0.025	0.021
0.023	0.024
0.024	0.022
0.018	0.015
0.036	0.043
0.012	0.013
0.002	0.005
0.009	0.010
0.013	0.012
-0.006	-0.003
0.020	0.023
0.023	0.022
0.005	0.008
0.011	0.014
0.047	0.046
0.021	0.026
0.042	0.046
0.043	0.046
0.046	0.048
0.045	0.042
0.040	0.038
0.037	0.039
0.032	0.032
0.050	0.051
0.050	0.048
0.030	0.029
0.039	0.045
0.030	0.029
0.038	0.035
0.047	0.048
0.054	0.050
0.029	0.029
0.050	0.047
0.068	0.065
0.026	0.025
0.066	0.066
0.050	0.051
0.053	0.052
0.031	0.030
0.016	0.013
0.019	0.021
0.024	0.020
0.013	0.014
0.010	0.008
0.017	0.015
0.021	0.024
0.034	0.029
0.032	0.032
0.033	0.029
0.012	0.012
0.030	0.029
0.015	0.012
0.020	0.020
0.031	0.030
0.035	0.037
0.043	0.037
0.017	0.021
0.029	0.028
0.037	0.036
0.030	0.029
0.031	0.029
0.029	0.028
0.029	0.031
0.032	0.031
0.036	0.035
0.041	0.041
0.016	0.016
0.041	0.036
0.041	0.039
0.048	0.047
0.050	0.048
0.050	0.046
0.049	0.053
0.057	0.052
0.059	0.054
0.065	0.055
0.027	0.028
0.044	0.044
0.030	0.031
0.016	0.017
0.039	0.040
0.049	0.049
0.042	0.042
0.037	0.036
0.049	0.046
0.054	0.053
0.035	0.035
0.039	0.040
0.032	0.044
0.015	0.019
0.049	0.051
0.015	0.019
0.067	0.062
0.052	0.056
0.062	0.061
0.048	0.047
0.028	0.028
0.046	0.046
0.046	0.049
0.065	0.070
0.067	0.064
0.061	0.062
0.054	0.050
0.051	0.050
0.051	0.050
0.054	0.058
0.056	0.055
0.068	0.067
0.033	0.034
0.057	0.055
0.054	0.055
0.050	0.046
0.019	0.020
0.038	0.037
0.036	0.037
0.042	0.037
0.042	0.033
0.033	0.031
0.028	0.027
0.030	0.028
0.038	0.037
0.047	0.045
0.033	0.031
0.033	0.035
0.040	0.038
0.032	0.029
0.040	0.039
0.032	0.030
0.033	0.029
0.029	0.024
0.043	0.044
0.055	0.046
0.055	0.048
0.046	0.048
0.046	0.040
0.035	0.036
0.032	0.027
0.056	0.054
0.053	0.055
0.052	0.055
0.047	0.046
0.040	0.046
0.042	0.040
0.048	0.049
0.044	0.042
0.068	0.075
0.047	0.042
0.049	0.048
0.048	0.049
0.045	0.043
0.043	0.045
0.041	0.043
0.043	0.037
0.041	0.040
0.054	0.055
0.023	0.023
0.067	0.063
0.045	0.047
0.038	0.038
0.042	0.037
0.047	0.047
0.052	0.054
0.055	0.052
0.033	0.029
0.064	0.063
0.041	0.041
0.046	0.045
0.029	0.028
