COMET-MQM_2021_ref_A	COMET-MQM_2021_ref_B
0.049	0.052
0.052	0.060
0.054	0.048
0.050	0.043
0.051	0.049
0.052	0.052
0.058	0.055
0.043	0.039
0.025	0.024
0.027	0.025
0.047	0.044
0.057	0.051
0.048	0.049
0.052	0.054
0.030	0.034
0.046	0.045
0.028	0.025
0.033	0.037
0.048	0.047
0.032	0.030
0.047	0.047
0.044	0.044
0.037	0.036
0.055	0.051
0.042	0.042
0.027	0.026
0.047	0.047
0.047	0.054
0.030	0.030
0.038	0.039
0.045	0.044
0.030	0.032
0.039	0.042
0.028	0.027
0.045	0.045
0.047	0.050
0.038	0.038
0.049	0.052
0.045	0.035
0.052	0.046
0.035	0.036
0.038	0.034
0.041	0.041
0.061	0.064
0.029	0.027
0.027	0.022
0.040	0.045
0.033	0.034
0.026	0.029
0.019	0.019
0.006	0.006
0.044	0.044
0.054	0.053
0.055	0.057
0.045	0.042
0.049	0.050
0.055	0.058
0.057	0.055
0.050	0.047
0.047	0.046
0.049	0.043
0.048	0.046
0.058	0.053
0.020	0.021
0.010	0.003
0.022	0.020
0.034	0.031
0.035	0.035
0.027	0.027
0.029	0.026
0.045	0.045
0.042	0.045
0.055	0.051
0.050	0.051
0.040	0.040
0.043	0.042
0.026	0.027
0.039	0.042
0.033	0.034
0.046	0.045
0.049	0.051
0.026	0.029
0.037	0.035
0.041	0.043
0.037	0.037
0.047	0.048
0.058	0.064
0.021	0.022
0.041	0.047
0.054	0.056
0.055	0.057
0.013	0.017
0.024	0.027
0.039	0.039
0.041	0.040
0.033	0.031
0.044	0.046
0.045	0.045
0.046	0.046
0.046	0.047
0.053	0.051
0.046	0.046
0.057	0.048
0.052	0.047
0.040	0.037
0.050	0.047
0.046	0.044
0.044	0.044
0.036	0.035
0.035	0.034
0.046	0.042
0.046	0.042
0.008	0.005
0.039	0.039
0.046	0.041
0.047	0.046
0.040	0.037
0.033	0.031
0.033	0.030
0.048	0.053
0.031	0.034
0.051	0.054
0.051	0.055
0.035	0.038
0.036	0.036
0.037	0.041
0.037	0.034
0.048	0.041
0.036	0.040
0.057	0.059
0.036	0.038
0.029	0.041
0.042	0.043
0.039	0.054
0.023	0.027
0.059	0.059
0.041	0.041
0.046	0.039
0.038	0.043
0.054	0.062
0.055	0.051
0.055	0.060
0.051	0.052
0.048	0.050
0.030	0.031
0.041	0.039
0.024	0.021
0.058	0.057
0.044	0.036
0.035	0.035
0.042	0.039
0.024	0.025
0.051	0.049
0.031	0.033
0.033	0.032
0.024	0.027
0.049	0.048
0.043	0.041
0.061	0.056
0.042	0.044
0.041	0.036
0.071	0.069
0.051	0.047
0.018	0.016
0.048	0.044
0.043	0.042
0.042	0.040
0.035	0.035
0.052	0.044
0.048	0.051
0.045	0.050
0.032	0.037
0.047	0.056
0.033	0.036
0.059	0.058
0.053	0.051
0.054	0.052
0.057	0.045
0.050	0.055
0.045	0.043
0.051	0.049
0.049	0.049
0.060	0.058
0.056	0.054
0.037	0.038
0.035	0.033
0.062	0.058
0.055	0.053
0.052	0.048
0.035	0.036
0.040	0.039
0.048	0.051
0.019	0.023
0.048	0.052
0.031	0.031
0.041	0.047
0.022	0.023
0.034	0.036
0.024	0.027
0.040	0.044
0.039	0.043
0.032	0.036
0.017	0.020
0.018	0.014
0.009	0.010
0.012	0.012
0.004	0.003
0.022	0.019
0.031	0.028
0.031	0.029
0.032	0.029
0.019	0.014
0.021	0.023
0.021	0.018
0.014	0.012
0.018	0.016
0.018	0.018
0.040	0.047
0.021	0.023
0.011	0.013
0.010	0.011
0.021	0.019
0.003	0.008
0.016	0.020
0.024	0.024
0.003	0.006
0.029	0.032
0.046	0.046
0.039	0.041
0.044	0.049
0.056	0.056
0.042	0.045
0.044	0.042
0.046	0.044
0.035	0.040
0.032	0.032
0.049	0.049
0.052	0.049
0.024	0.023
0.040	0.047
0.027	0.027
0.037	0.033
0.051	0.046
0.056	0.052
0.031	0.031
0.049	0.047
0.059	0.057
0.033	0.031
0.066	0.066
0.049	0.050
0.065	0.065
0.030	0.032
0.016	0.013
0.019	0.021
0.026	0.023
0.011	0.012
0.011	0.008
0.031	0.030
0.022	0.025
0.035	0.030
0.026	0.024
0.035	0.030
0.028	0.028
0.026	0.025
0.014	0.012
0.029	0.029
0.032	0.028
0.040	0.040
0.047	0.043
0.019	0.023
0.029	0.028
0.040	0.036
0.033	0.031
0.025	0.025
0.038	0.041
0.022	0.024
0.039	0.038
0.029	0.025
0.042	0.040
0.026	0.028
0.037	0.034
0.038	0.035
0.048	0.049
0.050	0.048
0.045	0.048
0.050	0.054
0.057	0.052
0.059	0.054
0.060	0.052
0.035	0.037
0.043	0.043
0.030	0.030
0.029	0.030
0.043	0.045
0.057	0.055
0.043	0.045
0.051	0.052
0.056	0.052
0.054	0.052
0.030	0.031
0.038	0.045
0.031	0.042
0.013	0.018
0.041	0.043
0.013	0.017
0.064	0.061
0.055	0.060
0.066	0.064
0.049	0.045
0.035	0.033
0.043	0.042
0.048	0.052
0.066	0.071
0.070	0.064
0.060	0.061
0.058	0.055
0.050	0.048
0.055	0.054
0.053	0.055
0.059	0.058
0.068	0.066
0.037	0.038
0.060	0.055
0.054	0.054
0.050	0.046
0.022	0.023
0.046	0.043
0.037	0.038
0.037	0.035
0.041	0.034
0.039	0.035
0.032	0.032
0.035	0.034
0.040	0.038
0.060	0.055
0.039	0.039
0.029	0.031
0.048	0.047
0.037	0.035
0.042	0.041
0.032	0.031
0.025	0.022
0.028	0.023
0.045	0.046
0.060	0.045
0.053	0.047
0.042	0.044
0.046	0.041
0.038	0.040
0.043	0.037
0.052	0.050
0.054	0.055
0.050	0.053
0.046	0.045
0.040	0.046
0.032	0.031
0.048	0.049
