sacre_BLEU	TER	CHRF2
0.61	0.29	0.79
0.37	0.58	0.62
0.38	0.49	0.65
0.17	0.61	0.54
0.35	0.53	0.59
0.37	0.47	0.56
0.34	0.42	0.62
0.40	0.55	0.62
0.00	0.88	0.37
0.00	0.67	0.53
0.64	0.27	0.81
0.86	0.07	0.96
0.40	0.66	0.53
0.00	0.62	0.44
0.44	0.38	0.64
0.00	0.69	0.30
0.37	0.37	0.67
0.17	0.81	0.46
0.17	0.74	0.54
0.43	0.32	0.71
0.32	0.33	0.70
0.35	0.41	0.64
0.24	0.57	0.54
0.42	0.40	0.62
0.42	0.45	0.64
0.44	0.42	0.67
0.38	0.51	0.54
0.35	0.43	0.67
0.18	0.72	0.43
0.16	0.70	0.49
0.18	0.67	0.39
0.24	0.72	0.46
0.21	0.64	0.46
0.32	0.57	0.54
0.00	0.67	0.46
0.00	0.86	0.39
0.00	0.80	0.27
0.00	0.55	0.52
0.33	0.47	0.49
0.00	0.27	0.70
0.19	0.55	0.48
0.14	0.80	0.47
0.37	0.56	0.53
0.34	0.30	0.69
0.12	0.81	0.40
0.14	0.80	0.45
0.00	0.86	0.34
0.51	0.57	0.68
0.21	0.75	0.41
0.64	0.24	0.81
0.11	0.74	0.44
0.20	0.60	0.57
0.54	0.47	0.73
0.89	0.19	0.83
0.25	0.59	0.46
0.31	0.84	0.51
0.58	0.44	0.60
0.00	0.52	0.32
0.15	0.92	0.44
0.00	0.70	0.47
0.27	0.60	0.46
0.33	0.50	0.58
0.88	0.21	0.81
0.25	0.78	0.34
0.00	0.94	0.14
0.27	0.58	0.48
0.22	0.72	0.53
0.33	0.54	0.54
0.00	0.86	0.28
0.39	0.49	0.53
0.33	0.62	0.61
0.30	0.55	0.55
0.66	0.33	0.76
0.66	0.30	0.69
0.51	0.39	0.61
0.19	0.50	0.47
0.34	0.55	0.62
0.00	0.93	0.44
0.48	0.49	0.59
0.54	0.55	0.74
0.44	0.52	0.76
0.30	0.54	0.58
0.28	0.71	0.59
0.49	0.32	0.61
0.00	0.73	0.62
0.16	0.72	0.46
0.71	0.15	0.82
0.29	0.60	0.62
0.00	0.27	0.76
1.00	0.00	1.00
0.00	0.75	0.34
0.33	0.41	0.60
0.50	0.13	0.72
0.26	0.92	0.54
0.00	0.56	0.60
0.20	0.61	0.55
0.27	0.67	0.63
0.32	0.42	0.57
0.35	0.58	0.59
0.46	0.34	0.73
0.44	0.24	0.81
0.70	0.29	0.71
0.25	0.72	0.53
0.46	0.51	0.62
0.41	0.69	0.52
0.00	0.81	0.35
0.52	0.42	0.58
0.35	0.52	0.62
0.55	0.56	0.53
0.53	0.31	0.69
0.00	0.58	0.42
0.30	0.54	0.44
0.31	0.68	0.48
0.47	0.60	0.61
0.46	0.43	0.65
0.54	0.29	0.78
0.16	0.60	0.44
0.27	0.57	0.58
0.32	0.53	0.62
0.40	0.68	0.52
0.51	0.35	0.69
0.44	0.46	0.60
0.49	0.42	0.61
0.41	0.53	0.66
0.52	0.49	0.58
0.54	0.49	0.73
0.48	0.63	0.53
0.62	0.48	0.54
0.27	0.38	0.64
0.74	0.13	0.85
0.51	0.43	0.61
0.63	0.18	0.77
0.00	0.69	0.50
0.89	0.06	0.93
0.39	0.57	0.56
0.81	0.20	0.85
0.73	0.33	0.73
0.59	0.38	0.72
0.21	0.82	0.44
1.00	0.00	1.00
0.23	0.50	0.60
0.54	0.34	0.79
0.80	0.18	0.76
0.91	0.14	0.83
0.43	0.43	0.64
0.27	0.67	0.56
0.17	0.73	0.44
0.44	0.26	0.70
0.17	0.63	0.34
0.22	0.63	0.49
0.57	0.30	0.65
0.40	0.51	0.59
0.54	0.31	0.71
0.49	0.42	0.71
0.38	0.62	0.58
0.33	0.58	0.55
0.24	0.60	0.43
0.48	0.49	0.63
0.47	0.32	0.76
0.53	0.43	0.65
0.48	0.63	0.45
0.92	0.05	0.91
0.23	0.70	0.51
0.38	0.33	0.68
0.66	0.26	0.80
0.48	0.35	0.67
0.25	0.56	0.48
0.23	0.55	0.39
0.00	0.54	0.45
0.34	0.35	0.69
0.65	0.24	0.80
0.40	0.47	0.60
0.81	0.11	0.92
0.44	0.50	0.61
0.55	0.36	0.73
0.00	0.56	0.43
0.58	0.54	0.60
0.60	0.36	0.66
0.61	0.19	0.79
0.18	0.76	0.54
0.50	0.25	0.78
0.39	0.39	0.65
0.77	0.13	0.84
0.57	0.33	0.58
0.21	0.69	0.62
0.59	0.31	0.74
0.45	0.30	0.67
0.50	0.29	0.73
0.43	0.53	0.63
0.29	0.53	0.56
0.41	0.38	0.62
0.63	0.48	0.71
0.16	0.60	0.52
0.40	0.56	0.75
0.39	0.68	0.54
0.00	0.73	0.53
0.29	0.68	0.59
0.15	0.68	0.43
0.46	0.62	0.62
0.00	0.63	0.38
0.00	0.65	0.47
0.44	0.45	0.59
0.00	0.95	0.48
0.00	0.59	0.47
0.31	0.59	0.50
0.12	0.84	0.38
0.39	0.58	0.50
0.22	0.66	0.42
0.00	0.71	0.48
0.00	0.75	0.35
0.52	0.40	0.53
0.17	0.67	0.41
0.46	0.62	0.46
0.18	0.62	0.45
0.13	0.93	0.37
0.24	0.65	0.47
0.19	0.75	0.44
0.59	0.12	0.76
0.31	0.73	0.49
0.00	0.75	0.35
0.23	0.79	0.44
0.36	0.56	0.57
0.20	0.76	0.42
0.21	0.83	0.47
0.00	0.65	0.39
0.25	0.72	0.46
0.00	0.85	0.21
0.00	0.67	0.47
0.59	0.42	0.67
0.46	0.38	0.61
0.52	0.36	0.64
0.27	0.33	0.62
0.62	0.44	0.64
0.59	0.22	0.77
0.63	0.36	0.59
0.00	1.00	0.53
0.45	0.56	0.56
0.59	0.38	0.82
0.74	0.30	0.80
0.57	0.52	0.67
0.36	0.82	0.58
0.24	0.70	0.45
0.54	0.31	0.78
0.29	0.64	0.54
0.00	0.80	0.42
0.51	0.32	0.71
0.32	0.62	0.70
0.35	0.59	0.48
1.00	0.00	1.00
0.70	0.33	0.73
0.25	0.57	0.46
0.58	0.47	0.62
0.50	0.60	0.58
0.00	0.82	0.13
0.21	0.73	0.49
0.40	0.62	0.51
0.36	0.65	0.54
0.32	0.57	0.61
0.00	0.76	0.30
0.60	0.20	0.71
0.25	0.57	0.42
0.35	0.52	0.56
0.34	0.56	0.48
0.47	0.54	0.49
0.00	0.71	0.36
0.26	0.93	0.53
0.00	0.90	0.34
0.22	0.76	0.37
0.00	0.89	0.29
0.38	0.62	0.53
0.00	0.71	0.44
0.27	0.52	0.60
0.25	0.78	0.46
0.00	0.79	0.43
0.37	0.48	0.58
0.00	1.07	0.36
0.19	0.58	0.60
0.18	0.80	0.59
0.49	0.37	0.72
0.34	0.63	0.53
0.00	0.42	0.53
0.44	0.49	0.65
0.38	0.54	0.53
0.35	0.49	0.62
0.37	0.53	0.63
0.34	0.67	0.58
0.25	0.87	0.58
0.21	0.71	0.59
0.00	0.62	0.53
0.28	0.67	0.46
0.15	0.66	0.50
0.50	0.42	0.60
0.00	0.79	0.32
0.00	0.94	0.35
0.47	0.46	0.52
0.00	0.87	0.35
0.39	0.42	0.68
0.00	0.45	0.63
0.69	0.31	0.79
0.45	0.50	0.55
0.28	0.58	0.56
0.41	0.53	0.78
0.24	0.71	0.53
0.00	0.78	0.34
0.30	0.61	0.57
1.00	0.00	1.00
0.58	0.29	0.80
0.75	0.20	0.90
0.67	0.23	0.71
0.28	0.59	0.55
0.00	0.67	0.46
0.44	0.62	0.69
0.89	0.07	0.94
0.00	0.62	0.63
