sacre_BLEU	TER	CHRF2
0.67	0.43	0.70
0.39	0.52	0.62
0.38	0.49	0.65
0.00	0.70	0.52
0.38	0.62	0.55
0.38	0.53	0.56
0.41	0.53	0.52
0.16	0.69	0.48
0.20	0.75	0.41
0.00	0.67	0.43
0.66	0.27	0.83
0.40	0.43	0.68
0.36	0.66	0.52
0.00	0.54	0.46
0.57	0.38	0.68
0.39	0.38	0.52
0.44	0.41	0.66
0.12	0.90	0.46
0.23	0.63	0.56
0.54	0.32	0.69
0.00	0.78	0.54
0.33	0.45	0.62
0.25	0.61	0.55
0.54	0.32	0.65
0.33	0.55	0.52
0.55	0.36	0.70
0.25	0.69	0.53
0.00	0.57	0.52
0.11	0.84	0.37
0.15	0.76	0.46
0.16	0.70	0.38
0.27	0.69	0.50
0.36	0.53	0.52
0.45	0.49	0.57
0.00	0.81	0.39
0.00	0.86	0.46
0.00	0.88	0.20
0.30	0.55	0.47
0.33	0.47	0.49
0.00	0.27	0.70
0.31	0.50	0.50
0.00	0.95	0.40
0.39	0.62	0.54
0.00	0.50	0.59
0.12	0.84	0.39
0.35	0.53	0.52
0.21	0.86	0.43
0.74	0.45	0.76
0.21	0.79	0.44
0.50	0.32	0.71
0.00	0.85	0.42
0.17	0.65	0.49
0.54	0.47	0.73
0.93	0.14	0.87
0.19	0.59	0.50
0.22	0.84	0.44
0.00	0.74	0.58
0.45	0.35	0.47
0.36	0.86	0.49
0.00	0.97	0.40
0.38	0.53	0.48
0.18	0.58	0.50
0.95	0.26	0.79
0.27	0.78	0.36
0.00	0.82	0.19
0.19	0.67	0.42
0.00	0.60	0.46
0.64	0.44	0.62
0.17	0.73	0.41
0.24	0.62	0.45
0.33	0.69	0.58
0.38	0.36	0.60
0.39	0.67	0.52
0.59	0.30	0.65
0.19	0.61	0.46
0.00	0.50	0.43
0.21	0.70	0.40
0.00	0.93	0.42
0.42	0.59	0.55
0.54	0.55	0.76
0.39	0.52	0.71
0.41	0.50	0.61
0.24	0.67	0.52
0.49	0.32	0.63
0.00	0.78	0.48
0.31	0.62	0.56
0.71	0.15	0.82
0.25	0.63	0.60
0.00	0.27	0.73
0.72	0.21	0.84
0.00	0.62	0.43
0.33	0.41	0.60
0.41	0.27	0.49
0.41	0.50	0.57
0.00	0.56	0.52
0.33	0.35	0.71
0.00	0.67	0.45
0.52	0.24	0.66
0.00	0.79	0.42
