sacre_BLEU	TER	CHRF2
0.74	0.21	0.82
0.00	0.84	0.48
0.38	0.49	0.65
0.21	0.65	0.52
0.20	0.62	0.46
0.37	0.47	0.56
0.34	0.42	0.62
0.35	0.55	0.55
0.00	1.12	0.36
0.00	0.86	0.35
0.57	0.49	0.73
0.69	0.14	0.88
0.40	0.69	0.53
0.00	0.77	0.49
0.44	0.38	0.64
0.34	0.38	0.51
0.39	0.41	0.69
0.28	0.81	0.56
0.17	0.74	0.54
0.43	0.32	0.70
0.32	0.33	0.69
0.43	0.33	0.71
0.24	0.61	0.55
0.42	0.40	0.62
0.34	0.59	0.54
0.46	0.42	0.68
0.51	0.34	0.64
0.35	0.43	0.59
0.23	0.68	0.47
0.15	0.76	0.44
0.18	0.67	0.39
0.22	0.76	0.43
0.31	0.64	0.52
0.46	0.49	0.58
0.00	0.96	0.43
0.00	0.86	0.39
0.00	0.88	0.23
0.00	0.45	0.59
0.33	0.47	0.49
0.00	0.27	0.70
0.19	0.55	0.48
0.11	1.05	0.38
0.62	0.36	0.69
0.34	0.30	0.69
0.00	0.87	0.35
0.24	0.76	0.50
0.00	1.23	0.37
0.54	0.57	0.69
0.13	1.32	0.39
0.56	0.24	0.80
0.12	0.77	0.44
0.19	0.65	0.55
0.54	0.47	0.73
0.77	0.24	0.81
0.23	0.68	0.46
0.32	0.84	0.50
0.00	0.67	0.48
0.66	0.35	0.47
0.21	0.97	0.43
0.08	1.78	0.45
0.28	0.57	0.47
0.26	0.54	0.54
1.00	0.21	0.84
0.26	0.78	0.32
0.00	0.82	0.15
0.42	0.61	0.54
0.29	0.57	0.54
0.48	0.34	0.66
0.00	0.82	0.41
0.47	0.40	0.64
0.37	0.62	0.68
0.37	0.55	0.50
0.66	0.33	0.76
0.66	0.30	0.69
0.49	0.39	0.59
0.45	0.50	0.54
0.36	0.55	0.52
0.00	0.93	0.44
0.33	0.74	0.53
0.56	0.32	0.76
0.51	0.43	0.81
0.25	0.54	0.54
0.00	0.92	0.46
0.46	0.40	0.63
0.00	0.83	0.49
0.17	0.67	0.50
0.71	0.15	0.82
0.22	0.72	0.57
0.00	0.27	0.73
1.00	0.00	1.00
0.00	0.88	0.37
0.00	0.55	0.48
0.50	0.13	0.72
0.34	0.67	0.55
0.00	0.56	0.60
0.20	0.61	0.55
0.55	0.56	0.58
0.32	0.42	0.57
0.35	0.58	0.59
0.60	0.34	0.73
0.40	0.24	0.78
0.47	0.53	0.51
0.20	0.88	0.51
0.55	0.41	0.72
0.00	0.62	0.49
0.13	0.77	0.37
0.51	0.37	0.67
0.36	0.43	0.64
0.29	0.52	0.53
0.48	0.36	0.64
0.20	0.71	0.42
0.30	0.54	0.45
0.31	0.61	0.51
0.41	0.51	0.64
0.33	0.55	0.58
0.43	0.37	0.76
0.20	0.68	0.48
0.26	0.62	0.57
0.20	0.59	0.56
0.31	0.84	0.47
0.27	0.62	0.54
0.44	0.46	0.60
0.41	0.44	0.57
0.50	0.41	0.73
0.53	0.42	0.60
0.46	0.61	0.64
0.33	0.58	0.53
0.60	0.34	0.59
0.50	0.31	0.63
0.74	0.13	0.85
0.62	0.38	0.67
