sacre_BLEU	TER	CHRF2
0.61	0.29	0.79
0.56	0.39	0.74
0.38	0.49	0.65
0.19	0.61	0.54
0.24	0.62	0.46
0.35	0.53	0.57
0.48	0.32	0.72
0.39	0.55	0.56
0.20	0.75	0.42
0.00	0.57	0.51
0.60	0.43	0.76
0.86	0.07	0.96
0.49	0.52	0.56
0.00	0.54	0.47
0.57	0.38	0.69
0.39	0.38	0.48
0.49	0.41	0.68
0.17	0.87	0.49
0.26	0.63	0.57
0.54	0.32	0.70
0.00	0.78	0.51
0.36	0.41	0.64
0.25	0.61	0.55
0.42	0.40	0.62
0.46	0.36	0.60
0.49	0.42	0.70
0.42	0.46	0.56
0.00	0.57	0.47
0.21	0.64	0.48
0.31	0.65	0.59
0.32	0.63	0.47
0.13	0.76	0.41
0.37	0.49	0.60
0.45	0.44	0.55
0.00	0.96	0.36
0.00	0.95	0.39
0.00	0.80	0.24
0.24	0.64	0.44
0.30	0.59	0.43
0.00	0.40	0.63
0.38	0.45	0.61
0.00	1.00	0.41
0.36	0.62	0.52
0.00	0.40	0.63
0.16	0.74	0.40
0.55	0.36	0.64
0.22	0.86	0.41
0.59	0.53	0.66
0.20	0.79	0.44
0.64	0.24	0.80
0.12	0.74	0.41
0.33	0.65	0.56
0.54	0.47	0.66
0.89	0.14	0.87
0.00	0.63	0.44
0.33	0.76	0.50
0.34	0.67	0.51
0.41	0.43	0.48
0.34	0.92	0.51
0.00	0.76	0.48
0.21	0.77	0.42
0.33	0.50	0.57
1.00	0.21	0.84
0.15	0.73	0.29
0.00	0.71	0.22
0.29	0.61	0.51
0.36	0.49	0.57
0.50	0.51	0.58
0.00	0.73	0.39
0.39	0.49	0.56
0.27	0.62	0.55
0.48	0.36	0.56
0.39	0.67	0.52
0.66	0.30	0.69
0.34	0.48	0.51
0.16	0.50	0.41
0.31	0.65	0.43
0.00	0.87	0.34
0.43	0.56	0.56
0.56	0.32	0.75
0.44	0.52	0.76
0.48	0.46	0.67
0.14	0.83	0.53
0.49	0.32	0.63
0.00	0.78	0.48
0.21	0.67	0.52
0.71	0.15	0.82
0.28	0.63	0.61
0.00	0.53	0.56
0.50	0.28	0.80
0.00	0.75	0.36
0.33	0.41	0.60
1.00	0.00	1.00
0.31	0.67	0.54
0.00	0.56	0.60
0.65	0.17	0.83
0.29	0.56	0.63
0.35	0.48	0.56
0.15	0.74	0.44
0.61	0.34	0.74
0.35	0.40	0.76
0.36	0.47	0.47
0.00	0.72	0.52
0.31	0.62	0.59
0.61	0.38	0.70
0.21	0.74	0.42
0.49	0.42	0.65
0.46	0.35	0.72
0.59	0.39	0.65
0.52	0.31	0.67
0.00	0.58	0.42
0.30	0.54	0.45
0.13	0.79	0.31
0.43	0.49	0.65
0.29	0.55	0.56
0.54	0.41	0.69
0.34	0.47	0.51
0.23	0.62	0.56
0.33	0.56	0.57
0.33	0.68	0.50
0.48	0.38	0.62
0.56	0.31	0.68
0.54	0.39	0.64
0.32	0.49	0.60
0.48	0.45	0.57
0.70	0.45	0.72
0.43	0.50	0.60
0.50	0.45	0.56
0.58	0.31	0.69
0.74	0.13	0.85
0.60	0.43	0.67
0.73	0.09	0.86
0.00	0.63	0.48
0.88	0.11	0.84
0.42	0.49	0.57
0.71	0.30	0.81
