sacre_BLEU	TER	CHRF2
0.00	0.90	0.47
0.47	0.56	0.67
0.22	0.67	0.51
0.60	0.33	0.90
0.00	0.62	0.50
0.61	0.33	0.75
0.20	0.75	0.42
0.00	1.00	0.27
0.27	0.55	0.59
0.29	0.59	0.57
0.17	0.94	0.47
0.40	0.60	0.65
0.38	0.29	0.48
0.42	0.54	0.51
0.00	0.40	0.45
0.00	0.56	0.49
0.00	0.83	0.57
0.00	0.62	0.52
0.21	0.71	0.45
0.42	0.43	0.75
0.17	0.75	0.49
1.00	0.00	1.00
0.26	0.54	0.44
0.00	0.78	0.45
0.24	0.71	0.61
0.12	0.77	0.42
0.23	0.91	0.30
0.41	0.44	0.57
0.44	0.35	0.70
0.21	0.71	0.44
0.21	0.59	0.57
0.85	0.15	0.79
0.00	0.86	0.43
0.38	0.48	0.68
0.00	0.65	0.47
0.00	0.88	0.42
0.32	0.56	0.64
0.36	0.40	0.60
0.00	0.50	0.46
0.38	0.47	0.68
0.40	0.50	0.64
0.00	0.50	0.69
0.00	0.93	0.38
0.60	0.33	0.89
0.00	1.12	0.44
0.22	0.64	0.51
0.35	0.45	0.69
0.75	0.14	0.84
0.00	0.75	0.11
1.00	0.00	1.00
0.00	1.50	0.14
0.00	5.00	0.12
0.00	0.75	0.28
0.00	0.73	0.49
0.00	0.36	0.68
0.25	0.60	0.45
0.00	0.83	0.41
0.30	0.50	0.60
0.57	0.33	0.79
0.34	0.64	0.68
0.34	0.52	0.61
0.90	0.10	0.95
0.40	0.48	0.73
0.34	0.64	0.64
0.47	0.46	0.68
0.47	0.46	0.63
0.26	0.69	0.50
0.44	0.50	0.66
0.40	0.38	0.71
0.56	0.26	0.89
0.00	0.70	0.54
0.00	0.86	0.36
0.00	0.60	0.32
0.44	0.33	0.63
0.00	1.50	0.17
0.00	0.50	0.63
0.00	0.67	0.46
1.00	0.00	1.00
0.30	0.78	0.52
0.00	0.80	0.31
0.12	0.77	0.34
0.00	2.00	0.06
0.00	0.00	1.00
0.00	1.21	0.35
0.00	1.00	0.52
0.00	0.83	0.15
0.00	0.78	0.37
0.00	1.24	0.38
0.28	0.70	0.59
0.00	0.83	0.34
0.19	0.73	0.43
0.00	1.13	0.22
0.00	1.00	0.30
0.39	0.61	0.54
0.00	1.37	0.31
0.48	0.40	0.60
0.15	0.94	0.47
0.24	0.69	0.53
0.30	0.54	0.51
0.19	0.62	0.48
0.19	0.67	0.55
1.00	0.00	1.00
0.00	0.83	0.32
0.16	0.62	0.41
0.00	0.20	0.69
0.19	0.66	0.52
0.00	0.89	0.49
0.66	0.25	0.64
0.00	0.45	0.48
0.15	0.77	0.53
0.73	0.14	0.91
0.00	1.20	0.38
0.11	0.78	0.53
0.23	0.89	0.56
0.25	0.71	0.46
0.00	2.00	0.22
0.00	0.91	0.29
0.00	2.00	0.16
0.42	0.36	0.67
0.37	0.57	0.57
0.27	0.75	0.59
0.00	0.71	0.43
0.50	0.14	0.80
0.17	0.63	0.38
0.43	0.38	0.60
0.24	0.55	0.51
0.00	1.00	0.26
0.44	0.30	0.73
0.61	0.29	0.68
0.39	0.64	0.72
0.16	0.77	0.43
0.00	1.11	0.36
0.00	0.76	0.37
0.08	0.94	0.47
0.45	0.38	0.59
0.49	0.45	0.59
0.00	0.94	0.33
0.17	0.92	0.57
0.00	0.74	0.45
0.00	1.14	0.30
0.00	0.38	0.52
0.00	0.64	0.51
0.21	0.69	0.53
0.44	0.50	0.65
0.60	0.12	0.82
0.00	0.64	0.60
0.00	1.00	0.32
1.00	0.00	1.00
0.20	0.75	0.51
0.00	1.21	0.41
0.45	0.39	0.58
0.59	0.31	0.79
0.00	0.43	0.52
0.11	1.06	0.39
0.00	0.58	0.51
0.00	0.89	0.27
0.27	0.75	0.68
0.26	0.73	0.52
0.00	1.00	0.35
0.00	0.91	0.33
0.72	0.12	0.86
0.47	0.38	0.67
0.16	0.73	0.48
0.00	0.91	0.27
0.00	2.00	0.13
0.00	2.00	0.11
0.00	0.83	0.31
0.17	0.81	0.43
0.00	0.76	0.31
0.00	0.60	0.37
0.00	0.25	0.72
0.52	0.60	0.80
0.00	0.43	0.73
0.00	1.00	0.09
0.00	0.62	0.41
0.00	1.00	0.17
0.30	0.45	0.68
0.00	0.75	0.44
0.15	0.76	0.48
0.39	0.56	0.67
0.00	0.92	0.31
0.15	0.80	0.43
0.20	0.83	0.37
0.00	0.80	0.56
0.48	0.30	0.67
0.26	0.50	0.52
0.72	0.08	0.80
0.00	0.33	0.63
0.53	0.36	0.71
0.00	0.60	0.53
0.00	0.84	0.37
0.00	0.61	0.37
0.29	0.53	0.60
0.21	0.58	0.64
0.00	1.47	0.35
0.34	0.33	0.81
0.38	0.50	0.64
0.81	0.14	0.85
0.15	0.68	0.53
0.19	0.73	0.46
0.38	0.33	0.79
0.00	0.75	0.57
0.00	0.57	0.25
0.54	0.31	0.67
0.00	0.67	0.46
0.00	1.25	0.15
0.32	0.67	0.53
0.00	0.73	0.37
0.00	0.64	0.44
0.45	0.40	0.66
0.26	0.55	0.54
0.22	0.66	0.53
0.20	0.75	0.33
0.00	1.00	0.17
0.00	1.35	0.38
0.59	0.29	0.73
0.30	0.70	0.54
0.15	0.93	0.41
0.00	0.60	0.46
0.00	0.79	0.28
0.15	0.72	0.44
0.00	0.50	0.55
0.00	0.00	1.00
0.41	0.40	0.70
0.19	0.59	0.43
0.00	0.67	0.53
0.00	1.10	0.50
0.00	0.88	0.46
0.27	0.50	0.46
0.46	0.40	0.55
0.00	1.00	0.31
0.56	0.33	0.68
0.49	0.53	0.59
0.58	0.50	0.55
0.00	0.67	0.14
0.17	0.82	0.45
0.36	0.33	0.61
0.20	0.76	0.44
