sacre_BLEU	TER	CHRF2
0.00	1.10	0.33
0.51	0.39	0.73
0.22	0.67	0.51
0.51	0.50	0.82
0.00	0.62	0.46
0.61	0.33	0.75
0.20	0.75	0.42
0.00	1.00	0.27
0.18	0.62	0.52
0.13	0.68	0.50
0.16	1.00	0.47
0.40	0.60	0.65
0.00	0.57	0.46
0.30	0.62	0.47
0.00	0.60	0.27
0.00	0.56	0.50
0.00	1.00	0.09
0.00	0.77	0.49
0.29	0.59	0.48
0.30	0.64	0.56
0.21	0.50	0.52
1.00	0.00	1.00
0.24	0.62	0.44
0.00	0.78	0.45
0.23	0.71	0.58
0.17	0.69	0.49
0.24	0.82	0.32
0.41	0.44	0.56
0.38	0.47	0.67
0.35	0.47	0.53
0.22	0.68	0.50
0.21	0.54	0.54
0.00	0.86	0.43
0.18	0.74	0.52
0.00	0.76	0.42
0.00	0.62	0.62
0.32	0.56	0.64
0.19	0.60	0.53
0.00	0.50	0.46
0.46	0.41	0.72
0.40	0.50	0.64
0.00	0.50	0.69
0.30	0.67	0.54
0.00	0.50	0.72
0.00	1.24	0.39
0.22	0.64	0.51
0.23	0.55	0.59
0.49	0.29	0.58
0.00	1.00	0.15
1.00	0.00	1.00
0.00	1.50	0.14
0.00	4.00	0.09
0.00	0.75	0.28
0.00	0.45	0.55
0.00	0.45	0.55
0.25	0.60	0.57
0.00	0.83	0.41
0.34	0.50	0.64
0.00	0.75	0.48
0.46	0.55	0.77
0.19	0.67	0.53
0.90	0.10	0.95
0.40	0.48	0.73
0.34	0.64	0.61
0.47	0.46	0.68
0.42	0.46	0.61
0.23	0.85	0.49
0.37	0.65	0.61
0.00	0.94	0.37
0.42	0.47	0.77
0.00	0.80	0.49
0.00	0.79	0.43
0.00	0.60	0.33
0.00	0.33	0.48
0.00	1.50	0.24
0.36	0.38	0.67
0.00	0.67	0.46
1.00	0.00	1.00
0.51	0.67	0.69
0.00	0.80	0.31
0.12	0.82	0.34
0.00	1.00	0.82
0.00	0.00	1.00
0.00	1.26	0.34
0.00	1.00	0.32
0.00	0.83	0.15
0.00	0.78	0.37
0.00	1.24	0.35
0.00	0.85	0.45
0.00	0.83	0.33
0.00	0.77	0.42
0.00	1.07	0.21
0.00	1.07	0.34
0.41	0.61	0.54
0.00	1.37	0.30
0.26	0.60	0.42
0.00	1.17	0.32
0.28	0.56	0.51
0.33	0.58	0.56
0.23	0.59	0.50
0.19	0.67	0.53
1.00	0.00	1.00
0.00	0.83	0.19
0.15	0.67	0.41
0.00	0.20	0.71
0.00	0.77	0.39
0.00	0.89	0.41
0.66	0.25	0.64
0.00	0.45	0.48
0.00	0.97	0.41
0.00	0.71	0.35
0.00	1.20	0.40
0.00	0.89	0.47
0.14	0.95	0.48
0.25	0.71	0.46
0.00	2.00	0.22
0.00	0.82	0.37
0.00	2.00	0.16
0.42	0.36	0.67
0.38	0.57	0.56
0.16	0.85	0.54
0.00	0.71	0.43
0.50	0.14	0.80
0.17	0.63	0.36
0.43	0.38	0.60
0.22	0.60	0.38
0.00	1.00	0.28
0.21	0.57	0.52
0.00	0.64	0.38
0.15	0.86	0.53
0.11	0.84	0.38
0.00	1.00	0.34
0.00	0.90	0.37
0.07	1.00	0.46
0.45	0.52	0.57
0.79	0.09	0.89
0.00	1.00	0.34
0.18	0.85	0.59
0.00	0.89	0.31
0.00	1.14	0.31
0.00	0.38	0.52
0.20	0.43	0.41
0.21	0.69	0.53
0.25	0.83	0.55
0.51	0.25	0.60
0.00	0.91	0.40
0.00	1.11	0.31
1.00	0.00	1.00
0.00	0.81	0.36
0.00	1.14	0.40
0.43	0.42	0.58
0.59	0.31	0.79
0.00	0.43	0.52
0.11	1.12	0.38
0.00	0.58	0.51
0.00	0.89	0.27
0.27	0.75	0.68
0.26	0.73	0.46
0.00	1.00	0.35
0.00	1.00	0.32
0.72	0.12	0.86
0.47	0.38	0.67
0.17	0.64	0.48
0.00	1.00	0.27
0.00	1.00	0.17
0.00	1.67	0.10
0.00	0.83	0.31
0.17	0.81	0.43
0.00	0.94	0.30
0.00	0.60	0.37
0.00	0.25	0.72
0.00	1.00	0.26
0.00	0.57	0.60
0.00	1.00	0.14
0.00	0.54	0.50
0.00	1.00	0.20
0.26	0.55	0.65
0.00	0.50	0.52
0.16	0.72	0.49
0.33	0.67	0.49
0.00	0.92	0.28
0.15	0.87	0.42
0.20	0.72	0.39
0.24	0.73	0.58
0.41	0.40	0.55
0.00	0.88	0.17
0.46	0.50	0.63
0.00	0.33	0.60
0.41	0.64	0.59
0.00	0.60	0.53
0.00	0.89	0.35
0.00	0.61	0.37
0.29	0.53	0.60
0.19	0.67	0.53
0.00	1.00	0.20
0.41	0.33	0.79
0.34	0.62	0.60
0.25	0.50	0.55
0.11	0.89	0.42
0.23	0.64	0.55
0.47	0.33	0.81
0.00	0.75	0.57
0.00	0.86	0.18
0.00	0.44	0.55
0.00	0.67	0.53
0.00	1.00	0.11
0.32	0.67	0.53
0.00	0.80	0.36
0.00	0.55	0.52
0.18	0.67	0.40
0.20	0.62	0.48
0.23	0.66	0.56
0.20	0.75	0.33
0.00	1.00	0.17
0.00	1.35	0.38
0.57	0.35	0.68
0.24	0.73	0.46
0.00	1.07	0.26
0.00	0.60	0.27
0.00	0.79	0.37
0.24	0.69	0.49
1.00	0.00	1.00
0.00	0.00	1.00
