sacre_BLEU	TER	CHRF2
0.00	0.90	0.47
0.51	0.39	0.74
0.22	0.67	0.51
0.51	0.50	0.82
0.00	0.62	0.49
0.61	0.33	0.75
0.20	0.75	0.45
0.00	1.00	0.27
0.24	0.55	0.54
0.22	0.61	0.55
0.16	1.00	0.47
0.40	0.60	0.65
0.00	0.57	0.34
0.38	0.46	0.58
0.00	0.50	0.47
0.00	0.44	0.50
0.00	1.00	0.14
0.00	0.77	0.49
0.25	0.59	0.44
0.23	0.86	0.58
0.18	0.67	0.56
1.00	0.00	1.00
0.26	0.54	0.44
0.00	0.78	0.45
0.24	0.71	0.63
0.21	0.66	0.56
0.00	1.00	0.21
0.45	0.48	0.58
0.35	0.65	0.63
0.35	0.47	0.53
0.22	0.68	0.51
0.40	0.46	0.66
0.00	1.43	0.38
0.16	0.69	0.46
0.00	0.76	0.38
0.00	0.88	0.43
0.32	0.56	0.64
0.29	0.40	0.63
0.00	0.50	0.46
0.55	0.29	0.76
0.52	0.38	0.77
0.00	0.25	0.80
0.00	0.73	0.38
0.00	0.50	0.72
0.00	1.06	0.41
0.21	0.72	0.52
0.35	0.45	0.61
0.75	0.14	0.74
0.00	0.75	0.11
1.00	0.00	1.00
0.00	1.50	0.14
0.00	4.00	0.10
0.00	0.75	0.30
0.00	0.73	0.44
0.00	0.55	0.46
0.33	0.60	0.50
0.00	0.50	0.53
0.34	0.50	0.64
0.00	0.75	0.48
0.35	0.64	0.67
0.19	0.62	0.53
0.90	0.10	0.95
0.47	0.41	0.74
0.33	0.68	0.60
0.47	0.46	0.69
0.47	0.46	0.63
0.15	0.85	0.40
0.57	0.35	0.75
0.20	0.62	0.62
0.28	0.63	0.61
0.00	0.80	0.49
0.00	0.64	0.36
0.00	0.60	0.33
0.44	0.33	0.64
0.00	1.50	0.44
0.36	0.38	0.67
0.00	0.67	0.46
1.00	0.00	1.00
0.28	0.89	0.50
0.00	0.80	0.31
0.13	0.77	0.37
0.00	1.00	0.82
0.00	0.00	1.00
0.00	1.21	0.33
0.00	1.08	0.29
0.00	0.83	0.16
0.00	0.78	0.37
0.00	1.10	0.37
0.27	0.70	0.58
0.00	0.83	0.33
0.00	0.82	0.38
0.00	1.13	0.22
0.00	1.13	0.32
0.41	0.61	0.54
0.00	1.18	0.33
0.26	0.55	0.46
0.00	1.28	0.30
0.24	0.69	0.43
0.38	0.50	0.60
0.12	0.72	0.42
0.20	0.67	0.56
1.00	0.00	1.00
0.00	0.83	0.19
0.16	0.54	0.46
0.00	0.20	0.69
0.00	0.80	0.38
0.00	0.89	0.41
0.66	0.25	0.64
0.00	0.45	0.48
0.00	0.94	0.41
0.00	0.71	0.35
0.00	1.20	0.37
0.00	0.84	0.47
0.14	1.00	0.48
0.26	0.65	0.47
0.00	2.00	0.22
0.22	0.55	0.43
0.00	1.75	0.15
0.25	0.64	0.53
0.22	0.67	0.48
0.27	0.65	0.44
0.00	0.71	0.43
0.50	0.14	0.80
0.00	0.79	0.24
0.47	0.25	0.70
0.12	0.65	0.29
0.00	0.67	0.51
0.21	0.57	0.52
0.00	0.57	0.44
0.25	0.71	0.60
0.10	0.84	0.36
0.00	0.95	0.30
0.18	0.76	0.42
0.08	0.91	0.45
0.45	0.43	0.57
0.54	0.36	0.64
0.00	1.00	0.28
0.17	0.85	0.56
0.00	0.95	0.26
0.00	1.14	0.31
0.00	0.38	0.52
0.00	0.64	0.33
0.24	0.65	0.51
0.37	0.50	0.62
0.60	0.12	0.82
0.00	0.91	0.40
0.00	1.00	0.32
1.00	0.00	1.00
0.00	0.88	0.35
0.00	0.93	0.46
0.45	0.39	0.58
0.59	0.31	0.79
0.00	0.43	0.52
0.12	1.00	0.38
0.00	0.58	0.51
0.00	0.89	0.27
0.27	0.75	0.68
0.25	0.80	0.48
0.00	1.00	0.33
0.00	1.00	0.32
0.72	0.12	0.86
0.49	0.23	0.69
0.16	0.73	0.46
0.00	1.00	0.27
0.00	1.25	0.15
0.00	2.00	0.10
0.00	0.83	0.31
0.17	0.76	0.39
0.00	0.88	0.27
0.00	0.60	0.37
0.00	0.25	0.72
0.00	1.00	0.26
0.00	0.57	0.52
0.00	1.00	0.14
0.00	0.62	0.49
0.00	0.88	0.21
0.26	0.55	0.65
0.00	0.50	0.52
0.16	0.76	0.49
0.33	0.67	0.49
0.00	0.88	0.30
0.48	0.53	0.61
0.17	0.78	0.31
0.00	0.80	0.56
0.41	0.40	0.55
0.42	0.38	0.58
0.34	0.42	0.49
0.00	0.33	0.63
0.45	0.55	0.60
0.00	0.60	0.53
0.00	0.89	0.35
0.00	0.61	0.37
0.29	0.53	0.60
0.16	0.83	0.56
0.00	0.93	0.34
0.34	0.50	0.80
0.34	0.62	0.55
0.62	0.21	0.78
0.16	0.68	0.49
0.23	0.64	0.55
0.47	0.22	0.81
0.00	0.75	0.39
0.00	0.71	0.23
0.21	0.56	0.52
0.00	0.67	0.55
0.00	1.00	0.11
0.32	0.67	0.53
0.00	0.73	0.44
0.00	0.59	0.46
0.18	0.67	0.40
0.30	0.52	0.56
0.27	0.62	0.58
0.18	0.75	0.33
0.00	0.50	0.51
0.00	1.50	0.36
0.57	0.24	0.73
0.23	0.77	0.46
0.00	1.00	0.25
0.00	0.60	0.25
0.00	0.71	0.49
0.23	0.72	0.47
1.00	0.00	1.00
0.00	0.00	1.00
0.41	0.40	0.70
0.00	0.76	0.28
0.00	0.67	0.55
0.00	1.10	0.50
0.00	0.81	0.42
0.27	0.50	0.46
0.44	0.40	0.59
0.00	1.00	0.28
0.50	0.39	0.64
0.32	0.59	0.42
0.00	0.88	0.30
0.00	0.67	0.14
0.17	0.77	0.44
0.33	0.43	0.61
0.16	0.80	0.40
0.00	1.67	0.11
0.27	0.57	0.56
0.27	0.72	0.52
0.33	0.51	0.64
0.39	0.86	0.72
0.49	0.44	0.68
0.30	0.52	0.56
0.00	0.73	0.44
0.25	0.64	0.70
0.35	0.43	0.63
0.00	0.57	0.42
0.39	0.50	0.60
0.72	0.33	0.79
0.17	0.73	0.53
0.00	0.78	0.46
0.14	0.79	0.50
0.31	0.63	0.55
0.18	0.83	0.36
0.20	0.59	0.44
0.29	0.61	0.59
0.56	0.47	0.76
0.44	0.56	0.72
0.00	0.74	0.34
0.00	0.89	0.33
0.00	0.89	0.51
0.24	0.57	0.55
0.31	0.42	0.59
0.00	0.82	0.47
0.29	0.53	0.54
0.32	0.55	0.55
0.00	0.69	0.41
0.00	0.65	0.37
0.29	0.80	0.55
0.00	0.62	0.39
0.00	0.67	0.46
0.00	0.00	1.00
0.00	0.00	1.00
0.00	1.30	0.20
0.00	1.08	0.34
0.20	0.71	0.53
0.51	0.43	0.72
0.00	1.67	0.35
0.00	1.45	0.33
0.75	0.14	0.86
0.22	0.71	0.56
0.28	0.69	0.53
0.43	0.33	0.68
0.20	0.80	0.44
0.00	1.20	0.23
0.00	1.11	0.33
0.53	0.33	0.73
0.42	0.50	0.62
0.28	0.58	0.48
0.00	0.50	0.41
0.11	0.76	0.41
0.23	0.57	0.54
0.64	0.20	0.76
0.56	0.38	0.69
0.00	1.20	0.13
0.31	0.57	0.69
0.51	0.38	0.75
0.00	0.83	0.43
0.23	1.00	0.61
0.00	0.90	0.42
0.00	0.89	0.51
0.00	1.50	0.24
0.00	0.95	0.33
0.14	0.86	0.44
0.00	1.00	0.24
0.76	0.09	0.87
0.37	0.64	0.55
0.13	0.77	0.41
0.00	0.91	0.41
0.10	1.11	0.40
0.30	0.36	0.61
0.51	0.25	0.89
0.00	1.31	0.36
0.00	0.75	0.54
0.21	2.00	0.61
0.17	0.69	0.50
0.09	1.09	0.39
0.29	0.56	0.67
0.00	1.00	0.74
0.63	0.22	0.67
0.00	0.89	0.18
0.00	1.20	0.25
0.29	0.50	0.49
0.23	0.43	0.51
0.25	1.00	0.61
0.00	1.60	0.42
0.15	1.00	0.44
0.00	1.06	0.30
0.27	0.92	0.53
0.00	1.14	0.31
0.24	0.50	0.61
0.20	0.73	0.39
0.31	0.62	0.56
0.00	1.33	0.25
0.00	1.35	0.24
0.32	0.38	0.39
0.64	0.38	0.78
0.00	1.50	0.19
0.00	0.71	0.47
0.32	0.73	0.51
0.58	0.27	0.76
0.00	1.00	0.27
0.00	0.80	0.26
0.14	0.94	0.52
0.00	0.73	0.41
0.20	0.39	0.61
0.00	0.00	1.00
0.41	0.45	0.65
0.00	0.00	1.00
0.00	0.00	1.00
0.71	0.14	0.80
0.46	0.40	0.69
0.27	0.50	0.54
0.00	0.75	0.11
0.00	0.92	0.51
0.27	0.56	0.59
0.20	0.54	0.54
0.00	0.80	0.43
0.00	1.20	0.24
0.42	0.33	0.68
0.40	0.52	0.56
0.00	0.83	0.09
0.70	0.25	0.82
0.48	0.36	0.73
0.38	0.52	0.61
0.40	0.47	0.58
0.47	0.47	0.67
0.54	0.29	0.52
0.00	0.81	0.48
0.30	0.44	0.61
0.00	1.00	0.04
0.00	1.25	0.57
0.00	0.75	0.28
0.18	1.17	0.40
0.24	0.62	0.50
1.00	0.00	1.00
0.26	0.64	0.50
0.00	0.86	0.37
0.43	0.33	0.72
0.00	0.00	1.00
0.00	0.00	1.00
0.00	0.62	0.50
0.19	0.56	0.62
0.00	1.00	0.16
0.00	1.33	0.09
0.00	0.86	0.54
0.00	1.00	0.09
0.00	0.73	0.36
0.00	0.73	0.38
0.32	0.64	0.67
0.00	1.00	0.31
0.21	0.55	0.48
0.00	1.00	0.48
0.37	0.33	0.67
0.00	0.60	0.42
0.40	0.41	0.58
0.00	0.78	0.56
0.00	1.11	0.26
0.14	0.68	0.53
0.32	0.69	0.52
0.00	0.94	0.35
0.00	1.32	0.37
0.45	0.43	0.71
0.30	0.67	0.51
0.25	0.57	0.57
0.24	0.53	0.60
0.24	0.55	0.60
0.00	0.82	0.51
0.00	0.89	0.34
0.33	0.43	0.59
0.30	0.72	0.58
0.00	0.85	0.46
0.00	0.83	0.16
0.00	1.33	0.44
0.31	0.67	0.63
0.10	1.19	0.54
0.28	0.62	0.50
0.00	1.00	0.33
0.00	1.00	0.33
0.23	0.78	0.49
0.22	1.12	0.60
0.00	0.67	0.37
0.14	0.71	0.46
0.00	0.75	0.13
0.00	1.75	0.27
0.00	0.67	0.28
0.17	0.83	0.47
0.00	0.71	0.40
0.00	1.28	0.29
0.12	0.84	0.40
0.00	0.79	0.29
