sacre_BLEU	TER	CHRF2
0.00	0.90	0.47
0.51	0.39	0.74
0.22	0.67	0.51
0.51	0.50	0.82
0.00	0.50	0.51
0.61	0.33	0.75
0.20	0.75	0.45
0.00	1.00	0.27
0.28	0.52	0.61
0.17	0.66	0.53
0.17	0.94	0.47
0.40	0.60	0.65
0.50	0.14	0.72
0.58	0.46	0.60
0.00	0.40	0.54
0.00	0.67	0.37
0.00	1.00	0.14
0.00	0.69	0.52
0.21	0.71	0.43
0.22	1.00	0.53
0.20	0.58	0.52
1.00	0.00	1.00
0.25	0.54	0.45
0.00	0.78	0.45
0.24	0.71	0.61
0.19	0.63	0.50
0.16	0.91	0.26
0.41	0.44	0.57
0.54	0.35	0.72
0.35	0.53	0.53
0.21	0.64	0.50
0.40	0.46	0.66
0.00	0.86	0.43
0.35	0.52	0.64
0.00	0.82	0.38
0.00	0.88	0.44
0.32	0.56	0.64
0.61	0.20	0.75
0.00	0.50	0.38
0.62	0.29	0.77
0.49	0.44	0.74
0.00	0.38	0.70
0.00	0.87	0.39
0.60	0.33	0.89
0.00	1.06	0.44
0.24	0.67	0.53
0.35	0.45	0.63
0.00	0.86	0.34
0.00	1.00	0.15
1.00	0.00	1.00
0.00	1.50	0.14
0.00	3.00	0.10
0.00	0.75	0.30
0.00	0.91	0.40
0.00	0.45	0.55
0.25	0.60	0.45
0.25	0.83	0.62
0.34	0.50	0.64
0.00	0.75	0.55
0.34	0.64	0.65
0.34	0.52	0.63
0.90	0.10	0.95
0.40	0.48	0.73
0.38	0.55	0.61
0.53	0.38	0.72
0.47	0.46	0.63
0.22	0.92	0.49
0.46	0.45	0.67
0.00	0.94	0.37
0.27	0.68	0.58
0.00	0.80	0.46
0.00	0.86	0.49
0.00	0.60	0.33
0.50	0.25	0.71
0.00	1.50	0.21
0.36	0.38	0.67
0.00	0.67	0.46
1.00	0.00	1.00
0.51	0.67	0.69
0.00	0.80	0.30
0.15	0.73	0.37
0.00	1.00	0.82
0.00	0.00	1.00
0.00	1.21	0.32
0.00	1.00	0.32
0.00	0.83	0.16
0.00	0.78	0.37
0.00	1.24	0.38
0.00	1.00	0.39
0.00	0.75	0.29
0.00	0.77	0.41
0.00	1.20	0.23
0.00	1.20	0.29
0.39	0.61	0.54
0.00	1.26	0.31
0.19	0.65	0.42
0.00	1.17	0.36
0.31	0.62	0.52
0.34	0.54	0.56
0.21	0.56	0.48
0.25	0.59	0.58
1.00	0.00	1.00
0.00	0.83	0.32
0.17	0.58	0.48
0.00	0.20	0.71
0.00	0.77	0.40
0.28	0.56	0.54
0.66	0.25	0.64
0.00	0.45	0.48
0.32	0.60	0.60
0.35	0.29	0.59
0.00	1.20	0.38
0.11	0.76	0.50
0.14	1.00	0.49
0.26	0.65	0.47
0.00	2.00	0.22
0.22	0.64	0.42
0.00	2.00	0.16
0.42	0.45	0.66
0.21	0.67	0.52
0.17	0.80	0.52
0.00	0.71	0.43
0.50	0.14	0.80
0.17	0.63	0.36
0.00	1.00	0.42
0.23	0.60	0.40
0.00	1.00	0.26
0.25	0.43	0.58
0.61	0.29	0.68
0.25	0.71	0.64
0.11	0.84	0.38
0.00	1.00	0.32
0.00	0.76	0.37
0.08	1.03	0.46
0.55	0.33	0.66
0.49	0.45	0.59
0.00	0.94	0.37
0.16	1.08	0.59
0.00	0.84	0.34
0.00	1.14	0.31
0.00	0.38	0.52
0.00	0.64	0.36
0.19	0.77	0.53
0.29	0.67	0.52
0.60	0.12	0.82
0.00	0.91	0.32
0.00	1.00	0.32
1.00	0.00	1.00
0.00	0.88	0.34
0.00	1.14	0.42
0.50	0.35	0.62
0.48	0.38	0.75
0.00	0.43	0.52
0.13	0.88	0.43
0.00	0.58	0.34
0.00	0.89	0.27
0.27	0.75	0.68
0.26	0.80	0.50
0.00	1.00	0.20
0.00	1.00	0.33
0.72	0.12	0.86
0.38	0.46	0.58
0.15	0.73	0.46
0.00	0.91	0.27
0.00	1.00	0.15
0.00	2.00	0.11
0.00	0.83	0.31
0.17	0.81	0.43
0.00	0.94	0.27
0.00	0.60	0.37
0.00	0.25	0.72
0.00	1.00	0.26
0.00	0.57	0.60
0.00	1.00	0.16
0.00	0.62	0.49
0.00	1.00	0.20
0.24	0.55	0.64
0.00	0.50	0.52
0.16	0.76	0.51
0.33	0.67	0.53
0.00	0.92	0.30
0.15	0.80	0.42
0.20	0.83	0.36
0.22	0.80	0.54
0.41	0.40	0.55
0.23	0.62	0.47
0.46	0.50	0.67
0.00	0.56	0.46
0.53	0.36	0.71
0.00	0.60	0.53
0.00	0.79	0.33
0.00	0.61	0.37
0.37	0.40	0.64
0.20	0.58	0.58
0.00	1.47	0.23
0.34	0.33	0.81
0.31	0.75	0.52
0.39	0.50	0.56
0.11	0.89	0.42
0.23	0.64	0.55
0.38	0.33	0.79
0.00	0.75	0.38
0.00	0.71	0.23
0.00	0.44	0.55
0.00	0.67	0.53
0.00	1.00	0.11
0.00	0.83	0.47
0.00	0.67	0.38
0.00	0.55	0.52
0.36	0.47	0.59
0.29	0.55	0.57
0.24	0.62	0.57
0.18	0.75	0.33
0.00	0.75	0.48
0.00	1.40	0.38
0.57	0.35	0.69
0.30	0.70	0.52
0.00	1.00	0.37
0.00	0.40	0.61
0.00	0.79	0.28
0.15	0.75	0.43
1.00	0.00	1.00
0.00	0.00	1.00
0.41	0.40	0.70
0.00	0.76	0.28
0.00	0.67	0.55
0.00	1.10	0.50
0.00	0.81	0.49
0.27	0.50	0.45
0.32	0.47	0.51
0.00	1.00	0.31
0.51	0.33	0.65
0.33	0.71	0.56
0.53	0.62	0.54
0.00	0.67	0.15
0.18	0.73	0.43
0.36	0.33	0.61
0.16	0.76	0.39
0.00	1.67	0.54
0.24	0.61	0.49
0.24	0.83	0.42
0.36	0.46	0.65
0.00	0.86	0.54
0.57	0.38	0.74
0.20	0.59	0.54
0.00	0.67	0.49
0.25	0.64	0.70
0.45	0.35	0.73
0.00	0.57	0.43
0.41	0.43	0.62
0.77	0.17	0.85
0.16	0.81	0.52
0.00	0.83	0.45
0.14	0.79	0.50
0.36	0.53	0.60
0.00	0.83	0.35
0.24	0.47	0.52
0.30	0.57	0.60
0.62	0.41	0.82
0.46	0.44	0.73
0.00	0.63	0.39
0.00	0.95	0.30
0.00	0.89	0.52
0.24	0.57	0.61
0.38	0.32	0.68
0.11	0.82	0.50
0.34	0.60	0.55
0.40	0.50	0.57
0.00	0.77	0.38
0.00	0.71	0.41
0.36	0.70	0.64
0.21	0.54	0.44
0.00	0.67	0.46
0.00	0.00	1.00
0.00	0.00	1.00
0.00	1.30	0.19
0.00	1.08	0.26
0.20	0.71	0.51
0.51	0.43	0.72
0.00	1.67	0.31
0.00	1.27	0.32
0.75	0.14	0.86
0.34	0.67	0.63
0.44	0.62	0.62
0.54	0.33	0.73
0.20	0.80	0.43
0.00	1.20	0.23
0.00	1.22	0.22
0.44	0.33	0.70
0.47	0.44	0.64
0.26	0.63	0.42
0.00	0.25	0.80
0.14	0.66	0.45
0.23	0.61	0.56
0.64	0.20	0.76
0.53	0.46	0.70
0.00	0.80	0.23
0.31	0.57	0.69
0.51	0.44	0.75
0.00	0.83	0.37
0.23	1.00	0.61
0.00	0.90	0.48
0.00	0.89	0.51
0.00	1.50	0.61
0.00	1.00	0.31
0.32	0.57	0.65
0.00	1.00	0.28
0.76	0.09	0.91
0.35	0.73	0.54
0.18	0.77	0.44
0.00	0.82	0.40
0.09	1.05	0.40
0.30	0.36	0.61
0.51	0.25	0.89
0.00	1.31	0.37
0.00	0.25	0.76
0.21	1.75	0.60
0.14	0.92	0.45
0.09	1.04	0.39
0.29	0.56	0.67
0.00	1.00	0.74
0.75	0.11	0.76
0.00	0.89	0.16
0.00	1.30	0.27
0.00	0.62	0.39
0.18	0.64	0.47
0.25	1.00	0.61
0.00	1.40	0.43
0.00	1.21	0.41
0.00	0.94	0.29
0.27	0.92	0.53
0.00	1.29	0.31
0.17	0.60	0.58
0.20	0.73	0.36
0.31	0.62	0.56
0.00	1.33	0.25
0.00	1.15	0.27
0.66	0.25	0.63
0.88	0.12	0.95
0.00	1.50	0.24
0.00	0.71	0.48
0.38	0.47	0.61
0.26	0.45	0.65
0.00	1.06	0.29
0.00	0.90	0.24
0.14	0.94	0.52
0.00	0.73	0.31
0.17	0.57	0.54
0.00	0.00	1.00
0.57	0.27	0.76
0.00	0.00	1.00
0.00	0.00	1.00
0.00	0.71	0.54
0.44	0.33	0.70
0.30	0.43	0.60
0.00	0.75	0.11
0.00	0.77	0.57
0.27	0.56	0.58
0.59	0.23	0.78
0.00	0.40	0.75
0.22	0.90	0.44
0.15	0.62	0.57
0.40	0.52	0.60
0.00	0.83	0.09
0.70	0.25	0.82
0.45	0.43	0.67
0.39	0.55	0.62
0.53	0.33	0.67
0.47	0.53	0.66
0.37	0.43	0.51
0.00	0.88	0.45
0.20	0.78	0.45
0.00	1.00	0.04
0.00	1.50	0.34
0.00	0.75	0.28
0.21	1.00	0.39
0.18	0.50	0.51
1.00	0.00	1.00
0.25	0.64	0.40
0.36	0.57	0.55
0.48	0.33	0.79
0.00	0.00	1.00
0.00	0.00	1.00
1.00	0.00	1.00
0.34	0.56	0.68
0.00	0.86	0.20
0.00	1.33	0.09
0.00	0.57	0.56
0.00	0.86	0.11
0.00	0.73	0.33
0.00	0.64	0.49
0.34	0.64	0.71
0.00	0.92	0.35
0.21	0.55	0.48
0.00	1.00	0.46
0.37	0.33	0.67
0.00	0.60	0.42
0.39	0.41	0.56
0.43	0.67	0.67
0.00	1.11	0.29
0.13	0.75	0.52
0.22	0.73	0.52
0.00	0.88	0.38
0.13	1.16	0.42
0.45	0.43	0.70
0.26	0.78	0.58
0.26	0.57	0.56
0.17	0.53	0.55
0.24	0.55	0.61
0.00	0.82	0.44
0.00	0.89	0.36
0.24	0.49	0.57
0.32	0.62	0.59
0.00	0.85	0.46
0.00	1.00	0.11
0.00	1.17	0.47
0.31	0.70	0.60
0.00	1.24	0.48
0.38	0.54	0.51
0.00	0.80	0.36
0.13	1.13	0.35
0.21	0.81	0.49
0.39	1.00	0.70
0.00	0.67	0.37
0.14	0.71	0.45
0.00	0.75	0.13
0.00	1.75	0.27
0.00	0.59	0.37
0.17	0.86	0.46
0.00	0.71	0.53
0.00	1.32	0.29
0.17	0.86	0.44
0.17	0.71	0.35
