sacre_BLEU	TER	CHRF2
0.00	0.90	0.47
0.51	0.39	0.73
0.22	0.67	0.51
0.60	0.33	0.90
0.00	0.75	0.42
0.61	0.33	0.75
0.20	0.75	0.42
0.00	1.00	0.27
0.22	0.62	0.52
0.31	0.59	0.57
0.15	1.00	0.46
0.40	0.60	0.65
0.50	0.14	0.72
0.54	0.38	0.62
0.00	0.40	0.54
0.00	0.67	0.38
1.00	0.00	1.00
0.00	0.69	0.52
0.26	0.65	0.48
0.23	0.86	0.57
0.30	0.42	0.60
1.00	0.00	1.00
0.26	0.54	0.44
0.00	0.78	0.45
0.23	0.71	0.61
0.17	0.69	0.49
0.23	0.91	0.29
0.45	0.40	0.58
0.42	0.41	0.69
0.35	0.53	0.53
0.21	0.59	0.57
0.40	0.46	0.73
0.00	0.86	0.43
0.35	0.50	0.64
0.00	0.88	0.37
0.00	0.88	0.42
0.32	0.56	0.64
0.31	0.60	0.58
0.00	0.50	0.46
0.62	0.35	0.77
0.49	0.44	0.74
0.00	0.38	0.70
0.00	0.87	0.40
0.00	0.50	0.48
0.00	1.12	0.44
0.22	0.69	0.51
0.35	0.45	0.69
0.00	0.71	0.37
0.00	0.75	0.11
1.00	0.00	1.00
0.00	1.50	0.36
0.00	4.00	0.10
0.00	0.75	0.28
0.00	0.91	0.40
0.00	0.45	0.54
0.25	0.60	0.52
0.25	0.83	0.62
0.34	0.50	0.62
0.00	0.75	0.48
0.34	0.64	0.68
0.34	0.52	0.62
0.90	0.10	0.95
0.40	0.48	0.73
0.33	0.68	0.60
0.47	0.46	0.68
0.47	0.46	0.63
0.22	0.92	0.49
0.46	0.45	0.67
0.19	0.69	0.62
0.44	0.42	0.79
0.00	0.80	0.46
0.00	0.86	0.34
0.00	0.60	0.32
0.44	0.33	0.54
0.00	1.50	0.24
0.36	0.38	0.67
0.00	0.33	0.63
1.00	0.00	1.00
0.51	0.67	0.69
0.00	0.80	0.31
0.14	0.77	0.37
0.00	1.00	0.82
0.00	0.00	1.00
0.00	1.21	0.36
0.00	1.00	0.52
0.00	0.83	0.16
0.00	0.78	0.37
0.00	1.10	0.37
0.27	0.65	0.59
0.00	0.67	0.32
0.00	0.73	0.40
0.00	1.13	0.22
0.00	1.07	0.33
0.41	0.57	0.56
0.00	1.24	0.30
0.48	0.40	0.57
0.00	1.06	0.38
0.24	0.62	0.48
0.37	0.50	0.59
0.18	0.56	0.45
0.19	0.69	0.54
1.00	0.00	1.00
0.00	0.83	0.20
0.00	0.67	0.38
0.00	0.20	0.71
0.00	0.79	0.41
0.28	0.56	0.54
0.66	0.25	0.64
0.00	0.45	0.48
0.11	0.74	0.44
0.73	0.14	0.91
0.00	1.20	0.38
0.11	0.78	0.51
0.25	0.89	0.57
0.25	0.71	0.46
0.00	2.00	0.22
0.22	0.64	0.42
0.00	2.00	0.16
0.42	0.36	0.67
0.24	0.57	0.51
0.17	0.80	0.53
0.00	0.71	0.43
0.41	0.29	0.71
0.00	0.68	0.36
0.43	0.38	0.60
0.27	0.55	0.51
0.00	1.00	0.17
0.34	0.43	0.69
0.61	0.29	0.68
0.31	0.79	0.61
0.11	0.84	0.37
0.00	0.95	0.36
0.00	0.76	0.37
0.08	0.91	0.46
0.45	0.38	0.59
0.43	0.64	0.59
0.00	0.94	0.33
0.20	0.77	0.58
0.00	0.74	0.39
0.00	1.14	0.31
0.00	0.38	0.52
0.31	0.57	0.59
0.33	0.58	0.59
0.44	0.50	0.66
0.60	0.12	0.82
0.00	0.91	0.42
0.00	1.11	0.31
1.00	0.00	1.00
0.23	0.75	0.52
0.00	0.93	0.43
0.53	0.35	0.62
0.59	0.31	0.79
0.00	0.57	0.41
0.12	1.00	0.38
0.00	0.50	0.48
0.00	0.78	0.25
0.27	0.75	0.68
0.26	0.73	0.52
0.00	1.17	0.22
0.00	0.91	0.33
0.72	0.12	0.86
0.47	0.38	0.67
0.18	0.64	0.55
0.00	0.91	0.25
0.00	1.00	0.22
0.00	1.33	0.11
0.00	0.83	0.31
0.25	0.71	0.49
0.00	0.94	0.28
0.43	0.40	0.61
0.00	0.25	0.72
0.00	1.00	0.26
0.00	0.57	0.52
0.00	1.00	0.09
0.00	0.54	0.46
0.00	1.00	0.18
0.30	0.45	0.68
0.00	0.50	0.45
0.17	0.72	0.52
0.39	0.56	0.66
0.00	0.88	0.30
0.45	0.53	0.60
0.20	0.72	0.40
0.00	0.73	0.54
0.41	0.40	0.55
0.28	0.50	0.47
0.65	0.17	0.74
0.00	0.33	0.63
0.41	0.64	0.63
0.00	0.60	0.53
0.00	0.95	0.35
0.00	0.61	0.38
0.32	0.47	0.60
0.00	1.00	0.36
0.00	1.47	0.26
0.34	0.33	0.81
0.40	0.50	0.68
0.47	0.36	0.66
0.17	0.74	0.55
0.19	0.73	0.46
0.38	0.33	0.79
0.00	0.75	0.52
0.00	0.71	0.23
0.00	0.56	0.54
0.00	0.67	0.46
0.00	1.00	0.11
0.37	0.50	0.53
0.29	0.40	0.49
0.00	0.59	0.48
0.38	0.47	0.59
0.22	0.62	0.51
0.32	0.62	0.60
0.20	0.75	0.33
0.00	1.00	0.28
0.00	1.45	0.36
0.50	0.41	0.67
0.30	0.68	0.52
0.00	1.00	0.34
0.00	0.40	0.60
0.00	0.71	0.36
0.15	0.78	0.46
1.00	0.00	1.00
0.00	0.00	1.00
0.41	0.40	0.69
0.19	0.59	0.43
0.00	0.67	0.53
0.00	1.10	0.50
0.00	0.75	0.43
0.27	0.50	0.46
0.29	0.67	0.44
0.00	0.80	0.43
0.53	0.44	0.65
0.19	0.71	0.45
0.53	0.62	0.54
0.00	0.67	0.14
0.16	0.82	0.43
0.23	0.38	0.56
0.16	0.80	0.40
0.00	1.67	0.51
0.15	0.71	0.40
0.25	0.78	0.51
0.38	0.46	0.67
0.26	0.50	0.63
0.58	0.35	0.75
0.28	0.52	0.59
0.00	0.70	0.50
0.25	0.64	0.70
0.61	0.26	0.77
0.00	0.57	0.43
0.38	0.54	0.56
0.53	0.33	0.76
0.22	0.73	0.56
0.00	0.78	0.46
0.26	0.53	0.58
0.27	0.67	0.55
0.00	1.00	0.31
0.00	0.71	0.36
0.32	0.55	0.61
0.40	0.53	0.72
0.43	0.44	0.70
0.00	0.63	0.39
0.00	0.95	0.30
0.00	0.94	0.48
0.21	0.71	0.58
0.37	0.37	0.64
0.10	0.74	0.52
0.34	0.60	0.56
0.40	0.50	0.60
0.00	0.77	0.41
0.00	0.71	0.42
0.38	0.68	0.67
0.21	0.54	0.44
0.00	0.67	0.46
0.00	0.00	1.00
0.00	0.00	1.00
0.00	1.10	0.20
0.00	1.08	0.26
0.20	0.71	0.53
0.61	0.30	0.83
0.00	1.67	0.37
0.00	1.36	0.32
0.75	0.14	0.86
0.33	0.67	0.66
0.28	0.69	0.56
0.54	0.33	0.73
0.00	1.00	0.33
0.00	1.00	0.24
0.00	1.39	0.28
0.44	0.33	0.70
0.43	0.50	0.65
0.31	0.53	0.49
0.00	0.25	0.80
0.12	0.79	0.41
0.18	0.65	0.55
0.64	0.20	0.76
0.53	0.46	0.70
0.00	0.80	0.23
0.31	0.57	0.69
0.51	0.44	0.75
0.00	0.83	0.37
0.18	0.78	0.59
0.00	0.90	0.51
0.00	0.78	0.69
0.35	0.75	0.79
0.00	0.82	0.36
0.00	0.93	0.39
0.00	0.92	0.35
0.76	0.09	0.88
0.35	0.73	0.54
0.20	0.77	0.43
0.00	0.91	0.40
0.11	1.00	0.40
0.30	0.36	0.61
0.51	0.25	0.89
0.00	1.25	0.41
0.00	0.25	0.76
0.26	1.25	0.60
0.18	0.73	0.49
0.08	1.09	0.36
0.29	0.56	0.67
0.00	1.00	0.74
0.64	0.22	0.70
0.00	0.89	0.18
0.00	1.20	0.33
0.00	0.75	0.32
0.00	0.57	0.45
