sacre_BLEU	TER	CHRF2
0.00	0.90	0.44
0.53	0.44	0.69
0.22	0.67	0.51
1.00	0.00	1.00
0.26	0.38	0.56
0.61	0.33	0.75
0.20	0.75	0.42
0.00	1.00	0.27
0.27	0.65	0.53
0.17	0.66	0.54
0.16	1.00	0.47
0.42	0.53	0.63
0.38	0.29	0.48
0.65	0.38	0.61
0.00	0.50	0.37
0.00	1.00	0.36
0.00	0.17	0.70
0.19	0.69	0.54
0.17	0.65	0.45
0.44	0.50	0.68
0.30	0.42	0.71
1.00	0.00	1.00
0.26	0.54	0.45
0.00	0.78	0.39
0.22	0.67	0.60
0.18	0.63	0.49
0.32	0.64	0.50
0.52	0.36	0.63
0.42	0.41	0.72
0.22	0.65	0.49
0.21	0.59	0.57
0.35	0.46	0.63
0.00	1.29	0.39
0.42	0.43	0.65
0.00	0.71	0.42
0.00	0.88	0.43
0.26	0.62	0.62
0.34	0.50	0.58
0.00	0.50	0.46
0.55	0.29	0.76
0.49	0.44	0.74
0.65	0.38	0.78
0.00	0.80	0.39
0.00	0.67	0.58
0.00	0.88	0.46
0.18	0.74	0.50
0.38	0.36	0.66
0.75	0.14	0.74
0.00	1.00	0.18
0.00	0.67	0.45
0.00	1.50	0.23
0.00	4.00	0.09
0.00	0.50	0.38
0.00	0.55	0.42
0.00	0.45	0.55
0.33	0.50	0.58
0.00	1.00	0.53
0.43	0.42	0.68
0.43	0.50	0.65
0.53	0.45	0.78
0.52	0.33	0.73
0.82	0.10	0.92
0.48	0.41	0.74
0.41	0.45	0.67
0.47	0.46	0.68
0.48	0.46	0.64
0.26	0.69	0.50
0.38	0.70	0.63
0.43	0.38	0.67
0.42	0.47	0.77
0.00	0.70	0.57
0.00	0.93	0.43
0.00	0.60	0.33
0.41	0.42	0.42
0.00	0.75	0.49
0.71	0.12	0.84
0.00	0.50	0.47
1.00	0.00	1.00
0.28	0.89	0.51
0.00	0.60	0.33
0.14	0.73	0.40
0.00	1.00	0.82
0.00	0.00	1.00
0.00	1.11	0.37
0.00	1.00	0.32
0.00	0.83	0.16
0.00	0.78	0.37
0.00	1.10	0.37
0.28	0.70	0.59
0.00	0.83	0.38
0.20	0.73	0.38
0.00	1.00	0.27
0.00	1.07	0.29
0.41	0.61	0.54
0.00	1.21	0.30
0.31	0.55	0.49
0.15	0.94	0.47
0.16	0.81	0.46
0.33	0.54	0.57
0.14	0.66	0.46
0.14	0.69	0.51
1.00	0.00	1.00
0.00	0.83	0.34
0.16	0.62	0.45
0.00	0.20	0.69
0.22	0.61	0.52
0.28	0.56	0.54
0.66	0.25	0.64
0.00	0.45	0.48
0.12	0.74	0.52
0.73	0.14	0.91
0.00	1.20	0.38
0.19	0.73	0.55
0.26	0.79	0.58
0.26	0.65	0.47
0.00	1.86	0.22
0.22	0.55	0.43
0.00	2.25	0.16
0.42	0.36	0.67
0.23	0.57	0.48
0.19	0.80	0.48
0.26	0.64	0.53
0.50	0.14	0.80
0.00	0.68	0.36
0.00	0.88	0.55
0.22	0.60	0.43
0.00	1.00	0.31
0.44	0.30	0.73
0.59	0.29	0.80
0.16	0.71	0.57
0.11	0.81	0.38
0.00	1.11	0.33
0.00	0.81	0.37
0.08	0.91	0.46
0.55	0.33	0.66
0.49	0.45	0.59
0.00	0.94	0.34
0.19	0.77	0.59
0.00	0.95	0.29
0.00	1.00	0.32
