sacre_BLEU	TER	CHRF2
0.00	1.10	0.36
0.51	0.39	0.73
0.21	0.67	0.52
0.51	0.50	0.82
0.00	0.62	0.49
0.61	0.33	0.75
0.20	0.75	0.42
0.00	1.00	0.24
0.18	0.73	0.47
0.32	0.54	0.58
0.35	0.44	0.65
0.40	0.60	0.65
0.50	0.14	0.72
0.42	0.54	0.51
0.42	0.30	0.72
0.00	0.44	0.53
0.00	0.67	0.55
0.00	0.69	0.52
0.30	0.53	0.49
0.37	0.57	0.62
0.30	0.42	0.60
1.00	0.00	1.00
0.26	0.54	0.44
0.00	0.78	0.45
0.24	0.71	0.61
0.24	0.66	0.49
0.18	0.73	0.27
0.49	0.40	0.61
0.57	0.35	0.75
0.40	0.41	0.60
0.21	0.64	0.53
0.85	0.15	0.79
0.00	0.86	0.43
0.32	0.52	0.65
0.00	0.76	0.38
0.36	0.50	0.68
0.32	0.56	0.64
0.58	0.30	0.65
0.00	0.50	0.46
0.50	0.41	0.72
0.49	0.44	0.74
0.66	0.12	0.90
0.00	0.80	0.39
0.51	0.33	0.73
0.00	0.94	0.41
0.24	0.67	0.51
0.35	0.45	0.69
0.00	0.86	0.34
0.00	0.75	0.11
1.00	0.00	1.00
0.00	0.00	1.00
0.00	3.00	0.10
0.00	0.75	0.30
0.00	0.91	0.40
0.00	0.45	0.55
0.27	0.50	0.58
0.25	0.83	0.62
0.00	0.67	0.51
0.00	0.75	0.48
0.19	0.82	0.61
0.45	0.48	0.72
0.90	0.10	0.95
0.23	0.52	0.65
0.41	0.45	0.63
0.47	0.46	0.69
0.47	0.46	0.63
0.22	0.92	0.49
0.46	0.45	0.67
0.43	0.38	0.67
0.24	0.58	0.64
0.00	0.80	0.46
0.28	0.57	0.56
0.00	0.60	0.32
0.41	0.42	0.39
0.00	1.75	0.23
0.36	0.38	0.67
0.00	0.67	0.46
1.00	0.00	1.00
0.56	0.56	0.69
0.00	0.60	0.45
0.19	0.73	0.37
0.00	1.00	0.82
0.00	0.00	1.00
0.00	1.05	0.35
0.00	1.00	0.50
0.00	0.83	0.16
0.00	0.78	0.37
0.00	1.05	0.37
0.14	0.85	0.46
0.00	0.92	0.32
0.00	0.73	0.42
0.00	1.07	0.21
0.00	1.00	0.32
0.41	0.57	0.56
0.00	1.24	0.35
0.31	0.60	0.44
0.00	1.00	0.44
0.31	0.62	0.47
0.46	0.50	0.62
0.20	0.56	0.48
0.25	0.56	0.54
1.00	0.00	1.00
0.00	0.83	0.21
0.16	0.67	0.42
0.00	0.60	0.55
0.17	0.75	0.50
0.28	0.56	0.54
0.66	0.25	0.64
0.00	0.45	0.48
0.23	0.66	0.53
0.73	0.14	0.91
0.00	1.20	0.39
0.00	0.76	0.46
0.23	0.95	0.55
0.28	0.65	0.53
0.00	1.57	0.23
0.22	0.64	0.43
0.00	2.00	0.16
0.42	0.36	0.67
0.41	0.43	0.62
0.17	0.80	0.53
0.00	0.71	0.43
0.41	0.29	0.71
0.17	0.63	0.37
0.43	0.38	0.60
0.23	0.60	0.40
0.00	1.00	0.26
0.48	0.26	0.74
0.00	0.64	0.38
0.41	0.57	0.75
0.11	0.84	0.38
0.00	0.95	0.36
0.30	0.57	0.47
0.08	0.91	0.44
0.55	0.33	0.66
0.30	0.64	0.62
0.00	0.94	0.33
0.37	0.54	0.69
0.00	0.74	0.45
0.00	1.14	0.31
0.00	0.38	0.52
0.20	0.50	0.42
0.29	0.62	0.57
0.44	0.50	0.67
0.60	0.12	0.82
0.00	0.82	0.32
0.00	0.89	0.31
1.00	0.00	1.00
0.23	0.75	0.52
0.00	0.93	0.42
0.41	0.35	0.60
0.59	0.31	0.79
0.00	0.43	0.52
0.13	0.88	0.46
0.00	0.50	0.48
0.00	0.89	0.27
0.00	1.25	0.55
0.26	0.73	0.52
0.00	0.83	0.16
0.00	0.91	0.31
0.72	0.12	0.86
0.49	0.23	0.69
0.16	0.64	0.48
0.00	0.91	0.27
0.00	1.00	0.19
0.00	1.67	0.08
0.00	0.83	0.31
0.17	0.81	0.42
0.00	0.88	0.23
0.00	0.60	0.37
0.00	0.25	0.72
0.00	1.00	0.26
0.00	0.71	0.39
0.00	0.75	0.13
0.00	0.62	0.41
0.00	0.88	0.20
0.30	0.45	0.69
0.00	0.50	0.45
0.14	0.80	0.46
0.33	0.67	0.49
0.00	0.96	0.31
0.45	0.47	0.57
0.20	0.72	0.39
0.24	0.73	0.58
0.48	0.30	0.67
0.00	0.62	0.25
0.49	0.17	0.67
0.00	0.56	0.50
0.53	0.36	0.71
0.00	0.80	0.41
0.00	0.89	0.35
0.00	0.52	0.41
0.36	0.40	0.63
0.23	0.50	0.64
0.00	1.47	0.26
0.00	0.33	0.69
0.38	0.50	0.64
0.47	0.36	0.66
0.12	0.79	0.47
0.23	0.64	0.55
0.42	0.33	0.80
0.00	0.62	0.56
0.00	0.57	0.25
0.32	0.38	0.58
0.24	0.42	0.51
0.00	1.00	0.11
0.32	0.67	0.53
0.00	0.67	0.45
0.00	0.55	0.48
0.38	0.47	0.60
0.00	0.66	0.49
0.30	0.66	0.59
0.20	0.75	0.33
0.00	1.00	0.47
0.00	1.45	0.38
0.57	0.35	0.68
0.31	0.62	0.53
0.00	1.00	0.36
0.00	0.40	0.60
0.00	0.79	0.30
0.24	0.69	0.50
0.00	0.50	0.55
0.00	0.00	1.00
0.41	0.40	0.70
0.00	0.65	0.33
0.00	0.42	0.65
0.00	1.10	0.50
0.00	0.81	0.37
0.27	0.50	0.46
0.46	0.40	0.55
0.00	1.00	0.31
0.48	0.44	0.66
0.36	0.59	0.56
0.53	0.62	0.54
0.00	0.67	0.14
0.18	0.73	0.46
0.36	0.33	0.61
0.15	0.72	0.40
0.00	1.67	0.52
0.15	0.75	0.43
0.19	0.89	0.47
0.30	0.51	0.62
0.22	0.64	0.51
0.52	0.44	0.71
0.28	0.52	0.59
0.00	0.73	0.50
0.25	0.64	0.70
0.58	0.26	0.77
0.00	0.71	0.31
0.38	0.54	0.58
0.74	0.17	0.92
0.27	0.62	0.58
0.00	0.83	0.46
0.15	0.68	0.45
0.30	0.67	0.54
0.11	1.00	0.36
0.24	0.47	0.52
0.29	0.55	0.59
0.40	0.53	0.72
0.55	0.33	0.71
0.20	0.58	0.46
0.00	0.89	0.33
0.00	0.94	0.48
0.25	0.57	0.59
0.50	0.32	0.68
0.00	0.68	0.48
0.36	0.60	0.55
0.43	0.40	0.62
0.16	0.73	0.45
0.00	0.71	0.42
0.38	0.68	0.60
0.21	0.54	0.44
0.00	0.67	0.46
0.00	0.00	1.00
0.00	0.00	1.00
0.00	1.30	0.20
0.00	1.15	0.29
0.27	0.65	0.57
0.52	0.39	0.75
0.00	1.67	0.21
0.00	1.27	0.35
0.75	0.14	0.86
0.34	0.62	0.71
0.44	0.62	0.62
0.43	0.33	0.71
0.00	0.90	0.18
0.00	1.20	0.23
0.00	1.11	0.35
0.34	0.56	0.50
0.28	0.50	0.58
0.31	0.53	0.49
0.00	0.50	0.41
0.15	0.66	0.47
0.23	0.61	0.55
0.00	0.40	0.55
0.53	0.46	0.70
0.00	0.80	0.23
0.31	0.57	0.69
0.41	0.56	0.65
0.00	0.83	0.37
0.25	0.89	0.61
0.00	1.00	0.42
0.00	1.00	0.58
0.35	1.00	0.80
0.00	0.73	0.45
0.00	0.86	0.40
0.00	1.00	0.28
0.76	0.09	0.87
0.28	0.82	0.47
0.11	0.82	0.40
0.00	0.82	0.40
0.10	1.05	0.41
0.26	0.45	0.54
0.51	0.25	0.89
0.00	1.19	0.39
0.00	0.25	0.76
0.21	1.50	0.59
0.25	0.69	0.54
0.09	1.09	0.40
0.29	0.56	0.67
0.00	1.00	0.77
0.60	0.33	0.59
0.37	0.67	0.35
0.00	1.10	0.27
0.00	0.75	0.31
0.00	0.71	0.36
0.31	0.67	0.71
0.00	1.60	0.42
0.13	1.00	0.45
0.00	1.00	0.29
0.27	0.92	0.53
0.00	1.14	0.31
0.32	0.40	0.66
0.20	0.73	0.36
0.41	0.48	0.62
0.00	1.00	0.24
0.00	1.10	0.26
0.66	0.25	0.63
0.68	0.38	0.81
0.00	1.50	0.19
0.00	0.71	0.47
0.38	0.40	0.66
0.31	0.36	0.67
0.00	1.12	0.31
0.00	0.80	0.26
0.14	0.94	0.52
0.23	0.67	0.46
0.17	0.57	0.53
0.00	0.00	1.00
0.37	0.36	0.67
0.00	0.00	1.00
0.00	0.00	1.00
0.00	0.71	0.50
0.66	0.20	0.77
0.45	0.36	0.71
0.00	0.75	0.11
0.00	0.77	0.51
0.33	0.52	0.65
0.59	0.23	0.77
0.00	0.20	0.75
0.00	1.20	0.24
0.00	0.52	0.45
0.27	0.57	0.55
0.00	0.83	0.09
0.88	0.12	0.90
0.48	0.36	0.73
0.36	0.52	0.60
0.42	0.40	0.60
0.50	0.33	0.70
0.32	0.57	0.46
0.00	0.81	0.48
0.19	0.89	0.45
0.00	1.00	0.04
0.00	1.75	0.31
0.00	0.75	0.28
0.18	1.17	0.40
0.18	0.62	0.48
0.00	0.40	0.73
0.26	0.64	0.50
0.36	0.57	0.55
0.44	0.25	0.74
0.00	0.00	1.00
0.00	0.00	1.00
0.65	0.38	0.82
0.51	0.38	0.76
0.00	1.00	0.16
0.00	1.33	0.14
0.00	0.57	0.56
0.00	1.00	0.09
0.00	0.73	0.31
0.00	0.64	0.49
0.17	0.86	0.59
0.23	0.77	0.46
0.21	0.55	0.48
0.00	1.00	0.48
0.49	0.17	0.74
0.00	0.70	0.40
0.39	0.41	0.56
0.00	0.78	0.58
0.00	1.11	0.29
0.13	0.75	0.51
0.18	0.81	0.47
0.00	0.88	0.38
0.14	1.11	0.42
0.40	0.36	0.66
0.28	0.67	0.54
0.33	0.52	0.60
0.00	0.71	0.29
0.00	0.82	0.28
0.00	0.82	0.44
0.00	0.89	0.36
0.29	0.51	0.55
0.27	0.66	0.57
0.00	0.77	0.47
0.00	1.00	0.10
0.00	1.00	0.47
0.29	0.67	0.52
0.09	1.29	0.46
0.39	0.54	0.52
0.00	0.80	0.35
0.00	1.00	0.33
0.23	0.74	0.47
0.41	0.88	0.71
0.00	0.67	0.37
0.17	0.62	0.51
0.00	0.50	0.23
0.00	1.25	0.28
0.00	0.63	0.31
0.18	0.76	0.49
0.38	0.43	0.54
0.00	1.16	0.29
0.15	0.88	0.44
0.17	0.71	0.35
0.12	1.00	0.48
0.00	1.09	0.36
0.35	0.56	0.70
0.22	0.55	0.52
0.28	1.00	0.61
0.00	0.75	0.35
0.00	0.40	0.68
0.00	1.75	0.14
0.19	0.85	0.46
0.26	0.64	0.53
0.00	0.29	0.66
0.00	0.50	0.42
0.32	0.71	0.57
0.00	1.14	0.31
0.00	0.88	0.19
0.00	0.90	0.18
0.00	0.75	0.47
0.34	0.57	0.58
0.00	1.25	0.12
0.00	0.25	0.73
0.00	0.70	0.50
0.46	0.36	0.66
1.00	0.00	1.00
0.00	0.86	0.43
0.00	1.12	0.23
0.10	3.65	0.48
0.00	1.00	0.15
0.37	0.25	0.67
0.61	0.33	0.77
0.18	0.75	0.37
0.00	1.00	0.54
0.39	0.65	0.62
0.30	0.50	0.54
0.00	1.00	0.45
0.34	0.44	0.62
0.00	0.75	0.30
0.00	1.00	0.23
0.28	0.65	0.56
0.31	0.69	0.54
0.33	0.56	0.53
0.00	0.75	0.40
0.42	0.50	0.64
0.80	0.22	0.91
0.00	0.86	0.20
0.22	0.47	0.60
0.00	1.00	0.32
0.50	0.40	0.66
0.00	2.50	0.15
0.16	0.93	0.59
0.15	0.76	0.46
0.00	0.58	0.48
0.29	0.46	0.67
0.00	1.00	0.10
0.27	1.08	0.52
0.00	0.67	0.46
1.00	0.00	1.00
0.35	0.38	0.51
0.00	1.10	0.30
0.00	0.67	0.55
0.77	0.12	0.91
0.00	0.60	0.68
0.39	0.43	0.76
0.00	1.00	0.22
0.24	0.57	0.54
0.25	0.64	0.62
0.00	0.58	0.43
0.00	0.75	0.41
0.00	1.17	0.27
0.24	0.62	0.53
0.27	0.62	0.52
0.00	1.29	0.18
0.27	0.50	0.65
0.61	0.20	0.92
0.14	0.68	0.55
0.00	0.20	0.70
0.25	0.73	0.53
0.11	3.23	0.50
0.00	0.00	1.00
0.00	0.00	1.00
